group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,156089.0,ns,3
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,302608.0,ns,6
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,452878.0,ns,9
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,608376.0,ns,12
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,758626.0,ns,15
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,913296.0,ns,18
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,1058509.0,ns,21
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,1189932.0,ns,24
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,1324458.0,ns,27
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,1473990.0,ns,30
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,1634352.0,ns,33
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,1778042.0,ns,36
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,1923084.0,ns,39
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,2071522.0,ns,42
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,2224841.0,ns,45
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,2381640.0,ns,48
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,2558939.0,ns,51
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,2708808.0,ns,54
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,2855958.0,ns,57
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,2950918.0,ns,60
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,3083373.0,ns,63
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,3239048.0,ns,66
kibibyte_ascending,partial_sort_1_0_0,len_3000-prefix_19,,,3381006.0,ns,69
