group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_ascending,select_nth,len_10-prefix_25,,,3920.0,ns,698
kibibyte_ascending,select_nth,len_10-prefix_25,,,10880.0,ns,1396
kibibyte_ascending,select_nth,len_10-prefix_25,,,12390.0,ns,2094
kibibyte_ascending,select_nth,len_10-prefix_25,,,16100.0,ns,2792
kibibyte_ascending,select_nth,len_10-prefix_25,,,20619.0,ns,3490
kibibyte_ascending,select_nth,len_10-prefix_25,,,24610.0,ns,4188
kibibyte_ascending,select_nth,len_10-prefix_25,,,29710.0,ns,4886
kibibyte_ascending,select_nth,len_10-prefix_25,,,33710.0,ns,5584
kibibyte_ascending,select_nth,len_10-prefix_25,,,38509.0,ns,6282
kibibyte_ascending,select_nth,len_10-prefix_25,,,43089.0,ns,6980
kibibyte_ascending,select_nth,len_10-prefix_25,,,48240.0,ns,7678
kibibyte_ascending,select_nth,len_10-prefix_25,,,54920.0,ns,8376
kibibyte_ascending,select_nth,len_10-prefix_25,,,57170.0,ns,9074
kibibyte_ascending,select_nth,len_10-prefix_25,,,69040.0,ns,9772
kibibyte_ascending,select_nth,len_10-prefix_25,,,71229.0,ns,10470
kibibyte_ascending,select_nth,len_10-prefix_25,,,77890.0,ns,11168
kibibyte_ascending,select_nth,len_10-prefix_25,,,83350.0,ns,11866
kibibyte_ascending,select_nth,len_10-prefix_25,,,88550.0,ns,12564
kibibyte_ascending,select_nth,len_10-prefix_25,,,98030.0,ns,13262
kibibyte_ascending,select_nth,len_10-prefix_25,,,106270.0,ns,13960
kibibyte_ascending,select_nth,len_10-prefix_25,,,115039.0,ns,14658
kibibyte_ascending,select_nth,len_10-prefix_25,,,130920.0,ns,15356
kibibyte_ascending,select_nth,len_10-prefix_25,,,134639.0,ns,16054
kibibyte_ascending,select_nth,len_10-prefix_25,,,143059.0,ns,16752
kibibyte_ascending,select_nth,len_10-prefix_25,,,152440.0,ns,17450
kibibyte_ascending,select_nth,len_10-prefix_25,,,161130.0,ns,18148
kibibyte_ascending,select_nth,len_10-prefix_25,,,171590.0,ns,18846
kibibyte_ascending,select_nth,len_10-prefix_25,,,176439.0,ns,19544
kibibyte_ascending,select_nth,len_10-prefix_25,,,184617.0,ns,20242
kibibyte_ascending,select_nth,len_10-prefix_25,,,195480.0,ns,20940
kibibyte_ascending,select_nth,len_10-prefix_25,,,203228.0,ns,21638
kibibyte_ascending,select_nth,len_10-prefix_25,,,212709.0,ns,22336
kibibyte_ascending,select_nth,len_10-prefix_25,,,231728.0,ns,23034
kibibyte_ascending,select_nth,len_10-prefix_25,,,238810.0,ns,23732
kibibyte_ascending,select_nth,len_10-prefix_25,,,254308.0,ns,24430
kibibyte_ascending,select_nth,len_10-prefix_25,,,270109.0,ns,25128
kibibyte_ascending,select_nth,len_10-prefix_25,,,286329.0,ns,25826
kibibyte_ascending,select_nth,len_10-prefix_25,,,304378.0,ns,26524
kibibyte_ascending,select_nth,len_10-prefix_25,,,314498.0,ns,27222
kibibyte_ascending,select_nth,len_10-prefix_25,,,343027.0,ns,27920
