group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_ascending,vendored_std,len_300-prefix_12,,,14390.0,ns,23
kibibyte_ascending,vendored_std,len_300-prefix_12,,,26910.0,ns,46
kibibyte_ascending,vendored_std,len_300-prefix_12,,,37669.0,ns,69
kibibyte_ascending,vendored_std,len_300-prefix_12,,,55000.0,ns,92
kibibyte_ascending,vendored_std,len_300-prefix_12,,,64140.0,ns,115
kibibyte_ascending,vendored_std,len_300-prefix_12,,,79060.0,ns,138
kibibyte_ascending,vendored_std,len_300-prefix_12,,,95490.0,ns,161
kibibyte_ascending,vendored_std,len_300-prefix_12,,,109880.0,ns,184
kibibyte_ascending,vendored_std,len_300-prefix_12,,,125048.0,ns,207
kibibyte_ascending,vendored_std,len_300-prefix_12,,,138700.0,ns,230
kibibyte_ascending,vendored_std,len_300-prefix_12,,,157320.0,ns,253
kibibyte_ascending,vendored_std,len_300-prefix_12,,,173530.0,ns,276
kibibyte_ascending,vendored_std,len_300-prefix_12,,,185200.0,ns,299
kibibyte_ascending,vendored_std,len_300-prefix_12,,,206060.0,ns,322
kibibyte_ascending,vendored_std,len_300-prefix_12,,,218590.0,ns,345
kibibyte_ascending,vendored_std,len_300-prefix_12,,,233247.0,ns,368
kibibyte_ascending,vendored_std,len_300-prefix_12,,,249819.0,ns,391
kibibyte_ascending,vendored_std,len_300-prefix_12,,,262069.0,ns,414
kibibyte_ascending,vendored_std,len_300-prefix_12,,,280728.0,ns,437
kibibyte_ascending,vendored_std,len_300-prefix_12,,,297759.0,ns,460
kibibyte_ascending,vendored_std,len_300-prefix_12,,,313747.0,ns,483
kibibyte_ascending,vendored_std,len_300-prefix_12,,,330528.0,ns,506
kibibyte_ascending,vendored_std,len_300-prefix_12,,,350528.0,ns,529
kibibyte_ascending,vendored_std,len_300-prefix_12,,,365858.0,ns,552
kibibyte_ascending,vendored_std,len_300-prefix_12,,,388368.0,ns,575
kibibyte_ascending,vendored_std,len_300-prefix_12,,,403658.0,ns,598
kibibyte_ascending,vendored_std,len_300-prefix_12,,,414979.0,ns,621
kibibyte_ascending,vendored_std,len_300-prefix_12,,,421729.0,ns,644
kibibyte_ascending,vendored_std,len_300-prefix_12,,,437178.0,ns,667
kibibyte_ascending,vendored_std,len_300-prefix_12,,,446428.0,ns,690
kibibyte_ascending,vendored_std,len_300-prefix_12,,,458980.0,ns,713
kibibyte_ascending,vendored_std,len_300-prefix_12,,,485010.0,ns,736
kibibyte_ascending,vendored_std,len_300-prefix_12,,,523568.0,ns,759
kibibyte_ascending,vendored_std,len_300-prefix_12,,,550318.0,ns,782
