group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,144489.0,ns,213
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,295660.0,ns,426
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,464667.0,ns,639
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,580327.0,ns,852
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,732417.0,ns,1065
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,875715.0,ns,1278
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,1017035.0,ns,1491
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,1164934.0,ns,1704
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,1300544.0,ns,1917
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,1458044.0,ns,2130
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,1613763.0,ns,2343
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,1763200.0,ns,2556
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,1923664.0,ns,2769
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,2071451.0,ns,2982
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,2237860.0,ns,3195
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,2388540.0,ns,3408
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,2541709.0,ns,3621
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,2737048.0,ns,3834
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,2873308.0,ns,4047
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,3023118.0,ns,4260
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,3193917.0,ns,4473
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,3333746.0,ns,4686
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,3491747.0,ns,4899
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,3627259.0,ns,5112
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,3765010.0,ns,5325
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,3911665.0,ns,5538
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,4065874.0,ns,5751
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,4218422.0,ns,5964
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,4377720.0,ns,6177
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,4536812.0,ns,6390
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,4696291.0,ns,6603
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,4846280.0,ns,6816
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,5007909.0,ns,7029
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,5162530.0,ns,7242
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,5317507.0,ns,7455
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,5473378.0,ns,7668
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,5638600.0,ns,7881
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,5818204.0,ns,8094
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,6164665.0,ns,8307
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,6145814.0,ns,8520
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,6320076.0,ns,8733
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,6479315.0,ns,8946
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,6653853.0,ns,9159
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,6807672.0,ns,9372
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,6965962.0,ns,9585
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,7119982.0,ns,9798
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,7354150.0,ns,10011
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,7689339.0,ns,10224
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,7783708.0,ns,10437
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,8955084.0,ns,10650
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,8445335.0,ns,10863
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,9387233.0,ns,11076
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,12838256.0,ns,11289
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,10108970.0,ns,11502
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,10299517.0,ns,11715
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,10427416.0,ns,11928
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,11042303.0,ns,12141
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,11466052.0,ns,12354
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,13649722.0,ns,12567
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,12513457.0,ns,12780
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,12903617.0,ns,12993
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,13150585.0,ns,13206
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,14679199.0,ns,13419
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,14940479.0,ns,13632
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,15009397.0,ns,13845
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,15170329.0,ns,14058
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,15299816.0,ns,14271
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,16555972.0,ns,14484
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,17160976.0,ns,14697
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,17114960.0,ns,14910
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,18460845.0,ns,15123
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,18326264.0,ns,15336
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,19252860.0,ns,15549
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,18156994.0,ns,15762
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,20437886.0,ns,15975
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,19066181.0,ns,16188
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,19543358.0,ns,16401
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,20197388.0,ns,16614
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,21145710.0,ns,16827
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,21730018.0,ns,17040
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,22198640.0,ns,17253
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,22856795.0,ns,17466
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,23100265.0,ns,17679
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,23908911.0,ns,17892
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,24496649.0,ns,18105
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,25158275.0,ns,18318
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,26820183.0,ns,18531
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,30077655.0,ns,18744
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,31228798.0,ns,18957
kibibyte_descending,partial_sort_1_0_0,len_20-prefix_15,,,30491534.0,ns,19170
