group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_descending,select_nth,len_100-prefix_9,,,60020.0,ns,52
kibibyte_descending,select_nth,len_100-prefix_9,,,139560.0,ns,104
kibibyte_descending,select_nth,len_100-prefix_9,,,214508.0,ns,156
kibibyte_descending,select_nth,len_100-prefix_9,,,265828.0,ns,208
kibibyte_descending,select_nth,len_100-prefix_9,,,338030.0,ns,260
kibibyte_descending,select_nth,len_100-prefix_9,,,400939.0,ns,312
kibibyte_descending,select_nth,len_100-prefix_9,,,479928.0,ns,364
kibibyte_descending,select_nth,len_100-prefix_9,,,517408.0,ns,416
kibibyte_descending,select_nth,len_100-prefix_9,,,560868.0,ns,468
kibibyte_descending,select_nth,len_100-prefix_9,,,624767.0,ns,520
kibibyte_descending,select_nth,len_100-prefix_9,,,687748.0,ns,572
kibibyte_descending,select_nth,len_100-prefix_9,,,747876.0,ns,624
kibibyte_descending,select_nth,len_100-prefix_9,,,809996.0,ns,676
kibibyte_descending,select_nth,len_100-prefix_9,,,872746.0,ns,728
kibibyte_descending,select_nth,len_100-prefix_9,,,935526.0,ns,780
kibibyte_descending,select_nth,len_100-prefix_9,,,1051484.0,ns,832
kibibyte_descending,select_nth,len_100-prefix_9,,,1086684.0,ns,884
kibibyte_descending,select_nth,len_100-prefix_9,,,1142634.0,ns,936
kibibyte_descending,select_nth,len_100-prefix_9,,,1185965.0,ns,988
kibibyte_descending,select_nth,len_100-prefix_9,,,1268964.0,ns,1040
kibibyte_descending,select_nth,len_100-prefix_9,,,1353983.0,ns,1092
kibibyte_descending,select_nth,len_100-prefix_9,,,1396513.0,ns,1144
kibibyte_descending,select_nth,len_100-prefix_9,,,1503450.0,ns,1196
kibibyte_descending,select_nth,len_100-prefix_9,,,1552471.0,ns,1248
kibibyte_descending,select_nth,len_100-prefix_9,,,1622043.0,ns,1300
kibibyte_descending,select_nth,len_100-prefix_9,,,1683064.0,ns,1352
kibibyte_descending,select_nth,len_100-prefix_9,,,1765472.0,ns,1404
kibibyte_descending,select_nth,len_100-prefix_9,,,1818642.0,ns,1456
kibibyte_descending,select_nth,len_100-prefix_9,,,1923733.0,ns,1508
kibibyte_descending,select_nth,len_100-prefix_9,,,1946942.0,ns,1560
kibibyte_descending,select_nth,len_100-prefix_9,,,2018172.0,ns,1612
kibibyte_descending,select_nth,len_100-prefix_9,,,2091930.0,ns,1664
kibibyte_descending,select_nth,len_100-prefix_9,,,2192420.0,ns,1716
kibibyte_descending,select_nth,len_100-prefix_9,,,2402491.0,ns,1768
kibibyte_descending,select_nth,len_100-prefix_9,,,2365820.0,ns,1820
kibibyte_descending,select_nth,len_100-prefix_9,,,2444520.0,ns,1872
kibibyte_descending,select_nth,len_100-prefix_9,,,2528660.0,ns,1924
kibibyte_descending,select_nth,len_100-prefix_9,,,2824698.0,ns,1976
kibibyte_descending,select_nth,len_100-prefix_9,,,2801499.0,ns,2028
kibibyte_descending,select_nth,len_100-prefix_9,,,2838555.0,ns,2080
kibibyte_descending,select_nth,len_100-prefix_9,,,3139068.0,ns,2132
kibibyte_descending,select_nth,len_100-prefix_9,,,3095607.0,ns,2184
kibibyte_descending,select_nth,len_100-prefix_9,,,3248836.0,ns,2236
kibibyte_descending,select_nth,len_100-prefix_9,,,3726814.0,ns,2288
kibibyte_descending,select_nth,len_100-prefix_9,,,3589356.0,ns,2340
kibibyte_descending,select_nth,len_100-prefix_9,,,3807205.0,ns,2392
kibibyte_descending,select_nth,len_100-prefix_9,,,4596023.0,ns,2444
kibibyte_descending,select_nth,len_100-prefix_9,,,4282452.0,ns,2496
kibibyte_descending,select_nth,len_100-prefix_9,,,5044719.0,ns,2548
kibibyte_descending,select_nth,len_100-prefix_9,,,5016009.0,ns,2600
kibibyte_descending,select_nth,len_100-prefix_9,,,5676956.0,ns,2652
kibibyte_descending,select_nth,len_100-prefix_9,,,6472393.0,ns,2704
kibibyte_descending,select_nth,len_100-prefix_9,,,7023861.0,ns,2756
kibibyte_descending,select_nth,len_100-prefix_9,,,8239885.0,ns,2808
kibibyte_descending,select_nth,len_100-prefix_9,,,6954422.0,ns,2860
kibibyte_descending,select_nth,len_100-prefix_9,,,7432401.0,ns,2912
kibibyte_descending,select_nth,len_100-prefix_9,,,7727478.0,ns,2964
kibibyte_descending,select_nth,len_100-prefix_9,,,9670801.0,ns,3016
kibibyte_descending,select_nth,len_100-prefix_9,,,10121758.0,ns,3068
kibibyte_descending,select_nth,len_100-prefix_9,,,8976293.0,ns,3120
kibibyte_descending,select_nth,len_100-prefix_9,,,9166612.0,ns,3172
kibibyte_descending,select_nth,len_100-prefix_9,,,9557999.0,ns,3224
kibibyte_descending,select_nth,len_100-prefix_9,,,10588798.0,ns,3276
kibibyte_descending,select_nth,len_100-prefix_9,,,10489716.0,ns,3328
kibibyte_descending,select_nth,len_100-prefix_9,,,14672178.0,ns,3380
kibibyte_descending,select_nth,len_100-prefix_9,,,12359352.0,ns,3432
kibibyte_descending,select_nth,len_100-prefix_9,,,13127285.0,ns,3484
kibibyte_descending,select_nth,len_100-prefix_9,,,12251841.0,ns,3536
kibibyte_descending,select_nth,len_100-prefix_9,,,13314185.0,ns,3588
kibibyte_descending,select_nth,len_100-prefix_9,,,13586024.0,ns,3640
kibibyte_descending,select_nth,len_100-prefix_9,,,13291426.0,ns,3692
kibibyte_descending,select_nth,len_100-prefix_9,,,13758303.0,ns,3744
kibibyte_descending,select_nth,len_100-prefix_9,,,13931754.0,ns,3796
kibibyte_descending,select_nth,len_100-prefix_9,,,14280541.0,ns,3848
kibibyte_descending,select_nth,len_100-prefix_9,,,15445075.0,ns,3900
kibibyte_descending,select_nth,len_100-prefix_9,,,15228977.0,ns,3952
kibibyte_descending,select_nth,len_100-prefix_9,,,16369263.0,ns,4004
kibibyte_descending,select_nth,len_100-prefix_9,,,16299073.0,ns,4056
kibibyte_descending,select_nth,len_100-prefix_9,,,16750810.0,ns,4108
kibibyte_descending,select_nth,len_100-prefix_9,,,17131267.0,ns,4160
kibibyte_descending,select_nth,len_100-prefix_9,,,17710696.0,ns,4212
kibibyte_descending,select_nth,len_100-prefix_9,,,19100499.0,ns,4264
kibibyte_descending,select_nth,len_100-prefix_9,,,19524110.0,ns,4316
kibibyte_descending,select_nth,len_100-prefix_9,,,19818988.0,ns,4368
kibibyte_descending,select_nth,len_100-prefix_9,,,20182195.0,ns,4420
kibibyte_descending,select_nth,len_100-prefix_9,,,20593714.0,ns,4472
kibibyte_descending,select_nth,len_100-prefix_9,,,20814706.0,ns,4524
kibibyte_descending,select_nth,len_100-prefix_9,,,22636368.0,ns,4576
kibibyte_descending,select_nth,len_100-prefix_9,,,24258208.0,ns,4628
kibibyte_descending,select_nth,len_100-prefix_9,,,26891738.0,ns,4680
kibibyte_descending,select_nth,len_100-prefix_9,,,23052437.0,ns,4732
kibibyte_descending,select_nth,len_100-prefix_9,,,23163675.0,ns,4784
kibibyte_descending,select_nth,len_100-prefix_9,,,23125953.0,ns,4836
kibibyte_descending,select_nth,len_100-prefix_9,,,23338521.0,ns,4888
kibibyte_descending,select_nth,len_100-prefix_9,,,23564571.0,ns,4940
kibibyte_descending,select_nth,len_100-prefix_9,,,24873637.0,ns,4992
kibibyte_descending,select_nth,len_100-prefix_9,,,25576354.0,ns,5044
kibibyte_descending,select_nth,len_100-prefix_9,,,25669364.0,ns,5096
kibibyte_descending,select_nth,len_100-prefix_9,,,27124758.0,ns,5148
kibibyte_descending,select_nth,len_100-prefix_9,,,26778548.0,ns,5200
