group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_descending,vendored_std,len_20-prefix_65,,,210969.0,ns,210
kibibyte_descending,vendored_std,len_20-prefix_65,,,416299.0,ns,420
kibibyte_descending,vendored_std,len_20-prefix_65,,,665537.0,ns,630
kibibyte_descending,vendored_std,len_20-prefix_65,,,859276.0,ns,840
kibibyte_descending,vendored_std,len_20-prefix_65,,,1092026.0,ns,1050
kibibyte_descending,vendored_std,len_20-prefix_65,,,1322833.0,ns,1260
kibibyte_descending,vendored_std,len_20-prefix_65,,,1517753.0,ns,1470
kibibyte_descending,vendored_std,len_20-prefix_65,,,1761433.0,ns,1680
kibibyte_descending,vendored_std,len_20-prefix_65,,,1949260.0,ns,1890
kibibyte_descending,vendored_std,len_20-prefix_65,,,2164582.0,ns,2100
kibibyte_descending,vendored_std,len_20-prefix_65,,,2407120.0,ns,2310
kibibyte_descending,vendored_std,len_20-prefix_65,,,2660418.0,ns,2520
kibibyte_descending,vendored_std,len_20-prefix_65,,,2901358.0,ns,2730
kibibyte_descending,vendored_std,len_20-prefix_65,,,3173235.0,ns,2940
kibibyte_descending,vendored_std,len_20-prefix_65,,,3365076.0,ns,3150
kibibyte_descending,vendored_std,len_20-prefix_65,,,3577105.0,ns,3360
kibibyte_descending,vendored_std,len_20-prefix_65,,,3810204.0,ns,3570
kibibyte_descending,vendored_std,len_20-prefix_65,,,3966738.0,ns,3780
kibibyte_descending,vendored_std,len_20-prefix_65,,,4193712.0,ns,3990
kibibyte_descending,vendored_std,len_20-prefix_65,,,4671071.0,ns,4200
kibibyte_descending,vendored_std,len_20-prefix_65,,,4659260.0,ns,4410
kibibyte_descending,vendored_std,len_20-prefix_65,,,4871649.0,ns,4620
kibibyte_descending,vendored_std,len_20-prefix_65,,,5065220.0,ns,4830
kibibyte_descending,vendored_std,len_20-prefix_65,,,5281808.0,ns,5040
kibibyte_descending,vendored_std,len_20-prefix_65,,,5499158.0,ns,5250
kibibyte_descending,vendored_std,len_20-prefix_65,,,5907846.0,ns,5460
kibibyte_descending,vendored_std,len_20-prefix_65,,,5955837.0,ns,5670
kibibyte_descending,vendored_std,len_20-prefix_65,,,6214289.0,ns,5880
kibibyte_descending,vendored_std,len_20-prefix_65,,,6441814.0,ns,6090
kibibyte_descending,vendored_std,len_20-prefix_65,,,6626593.0,ns,6300
kibibyte_descending,vendored_std,len_20-prefix_65,,,6841411.0,ns,6510
kibibyte_descending,vendored_std,len_20-prefix_65,,,7080380.0,ns,6720
kibibyte_descending,vendored_std,len_20-prefix_65,,,7287620.0,ns,6930
kibibyte_descending,vendored_std,len_20-prefix_65,,,7514319.0,ns,7140
kibibyte_descending,vendored_std,len_20-prefix_65,,,7726238.0,ns,7350
kibibyte_descending,vendored_std,len_20-prefix_65,,,7953327.0,ns,7560
kibibyte_descending,vendored_std,len_20-prefix_65,,,8152660.0,ns,7770
kibibyte_descending,vendored_std,len_20-prefix_65,,,8426804.0,ns,7980
kibibyte_descending,vendored_std,len_20-prefix_65,,,8699384.0,ns,8190
kibibyte_descending,vendored_std,len_20-prefix_65,,,8920353.0,ns,8400
kibibyte_descending,vendored_std,len_20-prefix_65,,,9072032.0,ns,8610
kibibyte_descending,vendored_std,len_20-prefix_65,,,9370931.0,ns,8820
kibibyte_descending,vendored_std,len_20-prefix_65,,,9563140.0,ns,9030
kibibyte_descending,vendored_std,len_20-prefix_65,,,9737000.0,ns,9240
kibibyte_descending,vendored_std,len_20-prefix_65,,,10003618.0,ns,9450
kibibyte_descending,vendored_std,len_20-prefix_65,,,10291449.0,ns,9660
kibibyte_descending,vendored_std,len_20-prefix_65,,,10461067.0,ns,9870
kibibyte_descending,vendored_std,len_20-prefix_65,,,10727416.0,ns,10080
kibibyte_descending,vendored_std,len_20-prefix_65,,,11047735.0,ns,10290
kibibyte_descending,vendored_std,len_20-prefix_65,,,11355493.0,ns,10500
kibibyte_descending,vendored_std,len_20-prefix_65,,,11679952.0,ns,10710
kibibyte_descending,vendored_std,len_20-prefix_65,,,12009681.0,ns,10920
kibibyte_descending,vendored_std,len_20-prefix_65,,,12234309.0,ns,11130
kibibyte_descending,vendored_std,len_20-prefix_65,,,12561857.0,ns,11340
kibibyte_descending,vendored_std,len_20-prefix_65,,,13007226.0,ns,11550
kibibyte_descending,vendored_std,len_20-prefix_65,,,13705553.0,ns,11760
kibibyte_descending,vendored_std,len_20-prefix_65,,,13590644.0,ns,11970
kibibyte_descending,vendored_std,len_20-prefix_65,,,14384361.0,ns,12180
kibibyte_descending,vendored_std,len_20-prefix_65,,,14245230.0,ns,12390
kibibyte_descending,vendored_std,len_20-prefix_65,,,14551949.0,ns,12600
kibibyte_descending,vendored_std,len_20-prefix_65,,,14963319.0,ns,12810
kibibyte_descending,vendored_std,len_20-prefix_65,,,15704116.0,ns,13020
kibibyte_descending,vendored_std,len_20-prefix_65,,,15786640.0,ns,13230
kibibyte_descending,vendored_std,len_20-prefix_65,,,17701288.0,ns,13440
kibibyte_descending,vendored_std,len_20-prefix_65,,,17429878.0,ns,13650
kibibyte_descending,vendored_std,len_20-prefix_65,,,17938307.0,ns,13860
kibibyte_descending,vendored_std,len_20-prefix_65,,,17615230.0,ns,14070
kibibyte_descending,vendored_std,len_20-prefix_65,,,18045575.0,ns,14280
kibibyte_descending,vendored_std,len_20-prefix_65,,,18410255.0,ns,14490
kibibyte_descending,vendored_std,len_20-prefix_65,,,18974801.0,ns,14700
kibibyte_descending,vendored_std,len_20-prefix_65,,,19563680.0,ns,14910
kibibyte_descending,vendored_std,len_20-prefix_65,,,20430566.0,ns,15120
kibibyte_descending,vendored_std,len_20-prefix_65,,,20489515.0,ns,15330
kibibyte_descending,vendored_std,len_20-prefix_65,,,21216371.0,ns,15540
kibibyte_descending,vendored_std,len_20-prefix_65,,,21495732.0,ns,15750
kibibyte_descending,vendored_std,len_20-prefix_65,,,22409397.0,ns,15960
kibibyte_descending,vendored_std,len_20-prefix_65,,,22887683.0,ns,16170
kibibyte_descending,vendored_std,len_20-prefix_65,,,23248490.0,ns,16380
kibibyte_descending,vendored_std,len_20-prefix_65,,,25392864.0,ns,16590
kibibyte_descending,vendored_std,len_20-prefix_65,,,26698640.0,ns,16800
kibibyte_descending,vendored_std,len_20-prefix_65,,,25308132.0,ns,17010
kibibyte_descending,vendored_std,len_20-prefix_65,,,27504545.0,ns,17220
kibibyte_descending,vendored_std,len_20-prefix_65,,,26053312.0,ns,17430
kibibyte_descending,vendored_std,len_20-prefix_65,,,26888299.0,ns,17640
kibibyte_descending,vendored_std,len_20-prefix_65,,,27925794.0,ns,17850
kibibyte_descending,vendored_std,len_20-prefix_65,,,27709865.0,ns,18060
kibibyte_descending,vendored_std,len_20-prefix_65,,,28735810.0,ns,18270
kibibyte_descending,vendored_std,len_20-prefix_65,,,29646638.0,ns,18480
kibibyte_descending,vendored_std,len_20-prefix_65,,,30367325.0,ns,18690
kibibyte_descending,vendored_std,len_20-prefix_65,,,32535736.0,ns,18900
kibibyte_descending,vendored_std,len_20-prefix_65,,,30778192.0,ns,19110
kibibyte_descending,vendored_std,len_20-prefix_65,,,31713030.0,ns,19320
kibibyte_descending,vendored_std,len_20-prefix_65,,,32870565.0,ns,19530
kibibyte_descending,vendored_std,len_20-prefix_65,,,33383530.0,ns,19740
kibibyte_descending,vendored_std,len_20-prefix_65,,,33201093.0,ns,19950
kibibyte_descending,vendored_std,len_20-prefix_65,,,34725427.0,ns,20160
kibibyte_descending,vendored_std,len_20-prefix_65,,,35158124.0,ns,20370
kibibyte_descending,vendored_std,len_20-prefix_65,,,34823345.0,ns,20580
kibibyte_descending,vendored_std,len_20-prefix_65,,,34949725.0,ns,20790
kibibyte_descending,vendored_std,len_20-prefix_65,,,35704240.0,ns,21000
