group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,155909.0,ns,307
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,316280.0,ns,614
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,543977.0,ns,921
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,717548.0,ns,1228
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,918450.0,ns,1535
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,1028115.0,ns,1842
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,1171225.0,ns,2149
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,1321774.0,ns,2456
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,1591702.0,ns,2763
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,1641773.0,ns,3070
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,1814080.0,ns,3377
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,1978042.0,ns,3684
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,2163031.0,ns,3991
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,2316210.0,ns,4298
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,2493820.0,ns,4605
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,2664039.0,ns,4912
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,2837737.0,ns,5219
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,3034698.0,ns,5526
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,3202897.0,ns,5833
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,3375186.0,ns,6140
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,3552815.0,ns,6447
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,3738390.0,ns,6754
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,3921965.0,ns,7061
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,4098174.0,ns,7368
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,4270372.0,ns,7675
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,4464692.0,ns,7982
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,4633841.0,ns,8289
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,4812480.0,ns,8596
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,4972900.0,ns,8903
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,5157369.0,ns,9210
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,5343748.0,ns,9517
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,5513538.0,ns,9824
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,5684430.0,ns,10131
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,5852566.0,ns,10438
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,6014256.0,ns,10745
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,6182184.0,ns,11052
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,6333304.0,ns,11359
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,6516245.0,ns,11666
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,6675801.0,ns,11973
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,6867410.0,ns,12280
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,7034691.0,ns,12587
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,7213140.0,ns,12894
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,7369220.0,ns,13201
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,7558440.0,ns,13508
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,7713047.0,ns,13815
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,8295537.0,ns,14122
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,8397126.0,ns,14429
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,8521065.0,ns,14736
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,9004172.0,ns,15043
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,9116891.0,ns,15350
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,9212001.0,ns,15657
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,9370570.0,ns,15964
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,9613651.0,ns,16271
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,9849900.0,ns,16578
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,10094148.0,ns,16885
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,10327005.0,ns,17192
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,10650025.0,ns,17499
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,10936005.0,ns,17806
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,11234406.0,ns,18113
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,11488872.0,ns,18420
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,11751041.0,ns,18727
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,12120250.0,ns,19034
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,12536577.0,ns,19341
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,13337627.0,ns,19648
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,13244020.0,ns,19955
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,15533198.0,ns,20262
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,14354469.0,ns,20569
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,14500850.0,ns,20876
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,15003450.0,ns,21183
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,15450116.0,ns,21490
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,15990782.0,ns,21797
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,16507763.0,ns,22104
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,16968618.0,ns,22411
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,19538009.0,ns,22718
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,17854466.0,ns,23025
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,18584853.0,ns,23332
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,19011254.0,ns,23639
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,19659639.0,ns,23946
kibibyte_random,partial_sort_1_0_0,len_12-prefix_95,,,20229476.0,ns,24253
