group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_random,select_nth,len_4000-prefix_3,,,174400.0,ns,2
kibibyte_random,select_nth,len_4000-prefix_3,,,245590.0,ns,4
kibibyte_random,select_nth,len_4000-prefix_3,,,381048.0,ns,6
kibibyte_random,select_nth,len_4000-prefix_3,,,482679.0,ns,8
kibibyte_random,select_nth,len_4000-prefix_3,,,626607.0,ns,10
kibibyte_random,select_nth,len_4000-prefix_3,,,703898.0,ns,12
kibibyte_random,select_nth,len_4000-prefix_3,,,796336.0,ns,14
kibibyte_random,select_nth,len_4000-prefix_3,,,903615.0,ns,16
kibibyte_random,select_nth,len_4000-prefix_3,,,1010216.0,ns,18
kibibyte_random,select_nth,len_4000-prefix_3,,,1173335.0,ns,20
kibibyte_random,select_nth,len_4000-prefix_3,,,1230486.0,ns,22
kibibyte_random,select_nth,len_4000-prefix_3,,,1285895.0,ns,24
kibibyte_random,select_nth,len_4000-prefix_3,,,1429013.0,ns,26
kibibyte_random,select_nth,len_4000-prefix_3,,,1500025.0,ns,28
kibibyte_random,select_nth,len_4000-prefix_3,,,1634603.0,ns,30
kibibyte_random,select_nth,len_4000-prefix_3,,,1785072.0,ns,32
kibibyte_random,select_nth,len_4000-prefix_3,,,1806164.0,ns,34
kibibyte_random,select_nth,len_4000-prefix_3,,,1887773.0,ns,36
kibibyte_random,select_nth,len_4000-prefix_3,,,2068312.0,ns,38
kibibyte_random,select_nth,len_4000-prefix_3,,,2175872.0,ns,40
kibibyte_random,select_nth,len_4000-prefix_3,,,2394697.0,ns,42
kibibyte_random,select_nth,len_4000-prefix_3,,,2368371.0,ns,44
kibibyte_random,select_nth,len_4000-prefix_3,,,2480621.0,ns,46
kibibyte_random,select_nth,len_4000-prefix_3,,,2650731.0,ns,48
kibibyte_random,select_nth,len_4000-prefix_3,,,2734190.0,ns,50
kibibyte_random,select_nth,len_4000-prefix_3,,,3242147.0,ns,52
kibibyte_random,select_nth,len_4000-prefix_3,,,3271366.0,ns,54
kibibyte_random,select_nth,len_4000-prefix_3,,,3260135.0,ns,56
kibibyte_random,select_nth,len_4000-prefix_3,,,3711514.0,ns,58
kibibyte_random,select_nth,len_4000-prefix_3,,,3881835.0,ns,60
kibibyte_random,select_nth,len_4000-prefix_3,,,5152908.0,ns,62
kibibyte_random,select_nth,len_4000-prefix_3,,,4766890.0,ns,64
kibibyte_random,select_nth,len_4000-prefix_3,,,4720580.0,ns,66
kibibyte_random,select_nth,len_4000-prefix_3,,,5027658.0,ns,68
kibibyte_random,select_nth,len_4000-prefix_3,,,5038000.0,ns,70
kibibyte_random,select_nth,len_4000-prefix_3,,,6907691.0,ns,72
kibibyte_random,select_nth,len_4000-prefix_3,,,7064471.0,ns,74
kibibyte_random,select_nth,len_4000-prefix_3,,,6995221.0,ns,76
kibibyte_random,select_nth,len_4000-prefix_3,,,7314620.0,ns,78
kibibyte_random,select_nth,len_4000-prefix_3,,,7495499.0,ns,80
kibibyte_random,select_nth,len_4000-prefix_3,,,9513952.0,ns,82
kibibyte_random,select_nth,len_4000-prefix_3,,,10017410.0,ns,84
kibibyte_random,select_nth,len_4000-prefix_3,,,9832239.0,ns,86
kibibyte_random,select_nth,len_4000-prefix_3,,,9813792.0,ns,88
kibibyte_random,select_nth,len_4000-prefix_3,,,10559356.0,ns,90
kibibyte_random,select_nth,len_4000-prefix_3,,,14160041.0,ns,92
kibibyte_random,select_nth,len_4000-prefix_3,,,14800449.0,ns,94
kibibyte_random,select_nth,len_4000-prefix_3,,,14614681.0,ns,96
kibibyte_random,select_nth,len_4000-prefix_3,,,15113728.0,ns,98
kibibyte_random,select_nth,len_4000-prefix_3,,,15739205.0,ns,100
kibibyte_random,select_nth,len_4000-prefix_3,,,16843711.0,ns,102
kibibyte_random,select_nth,len_4000-prefix_3,,,17397802.0,ns,104
kibibyte_random,select_nth,len_4000-prefix_3,,,16974090.0,ns,106
kibibyte_random,select_nth,len_4000-prefix_3,,,17754757.0,ns,108
kibibyte_random,select_nth,len_4000-prefix_3,,,18648511.0,ns,110
kibibyte_random,select_nth,len_4000-prefix_3,,,19386401.0,ns,112
kibibyte_random,select_nth,len_4000-prefix_3,,,19544729.0,ns,114
kibibyte_random,select_nth,len_4000-prefix_3,,,19915477.0,ns,116
kibibyte_random,select_nth,len_4000-prefix_3,,,20663794.0,ns,118
kibibyte_random,select_nth,len_4000-prefix_3,,,21320313.0,ns,120
kibibyte_random,select_nth,len_4000-prefix_3,,,22276853.0,ns,122
kibibyte_random,select_nth,len_4000-prefix_3,,,21596010.0,ns,124
kibibyte_random,select_nth,len_4000-prefix_3,,,22463518.0,ns,126
kibibyte_random,select_nth,len_4000-prefix_3,,,24547997.0,ns,128
kibibyte_random,select_nth,len_4000-prefix_3,,,24087731.0,ns,130
kibibyte_random,select_nth,len_4000-prefix_3,,,24555091.0,ns,132
kibibyte_random,select_nth,len_4000-prefix_3,,,24653589.0,ns,134
kibibyte_random,select_nth,len_4000-prefix_3,,,25234456.0,ns,136
kibibyte_random,select_nth,len_4000-prefix_3,,,26321050.0,ns,138
kibibyte_random,select_nth,len_4000-prefix_3,,,27041769.0,ns,140
kibibyte_random,select_nth,len_4000-prefix_3,,,27618576.0,ns,142
kibibyte_random,select_nth,len_4000-prefix_3,,,27066307.0,ns,144
kibibyte_random,select_nth,len_4000-prefix_3,,,27462745.0,ns,146
kibibyte_random,select_nth,len_4000-prefix_3,,,29420571.0,ns,148
kibibyte_random,select_nth,len_4000-prefix_3,,,29026399.0,ns,150
kibibyte_random,select_nth,len_4000-prefix_3,,,29066280.0,ns,152
kibibyte_random,select_nth,len_4000-prefix_3,,,30861602.0,ns,154
kibibyte_random,select_nth,len_4000-prefix_3,,,31175794.0,ns,156
kibibyte_random,select_nth,len_4000-prefix_3,,,31084163.0,ns,158
kibibyte_random,select_nth,len_4000-prefix_3,,,31895720.0,ns,160
kibibyte_random,select_nth,len_4000-prefix_3,,,32408216.0,ns,162
kibibyte_random,select_nth,len_4000-prefix_3,,,33238041.0,ns,164
kibibyte_random,select_nth,len_4000-prefix_3,,,34006662.0,ns,166
kibibyte_random,select_nth,len_4000-prefix_3,,,35037582.0,ns,168
kibibyte_random,select_nth,len_4000-prefix_3,,,34583478.0,ns,170
kibibyte_random,select_nth,len_4000-prefix_3,,,35040622.0,ns,172
kibibyte_random,select_nth,len_4000-prefix_3,,,35565614.0,ns,174
kibibyte_random,select_nth,len_4000-prefix_3,,,36635188.0,ns,176
kibibyte_random,select_nth,len_4000-prefix_3,,,36528527.0,ns,178
kibibyte_random,select_nth,len_4000-prefix_3,,,36704218.0,ns,180
kibibyte_random,select_nth,len_4000-prefix_3,,,37406895.0,ns,182
kibibyte_random,select_nth,len_4000-prefix_3,,,38221313.0,ns,184
kibibyte_random,select_nth,len_4000-prefix_3,,,39034147.0,ns,186
kibibyte_random,select_nth,len_4000-prefix_3,,,39730886.0,ns,188
kibibyte_random,select_nth,len_4000-prefix_3,,,41720647.0,ns,190
kibibyte_random,select_nth,len_4000-prefix_3,,,42438322.0,ns,192
kibibyte_random,select_nth,len_4000-prefix_3,,,43155921.0,ns,194
kibibyte_random,select_nth,len_4000-prefix_3,,,43473253.0,ns,196
kibibyte_random,select_nth,len_4000-prefix_3,,,43122981.0,ns,198
kibibyte_random,select_nth,len_4000-prefix_3,,,43046751.0,ns,200
