group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_random,vendored_std,len_300-prefix_20,,,115920.0,ns,17
kibibyte_random,vendored_std,len_300-prefix_20,,,212269.0,ns,34
kibibyte_random,vendored_std,len_300-prefix_20,,,345469.0,ns,51
kibibyte_random,vendored_std,len_300-prefix_20,,,446458.0,ns,68
kibibyte_random,vendored_std,len_300-prefix_20,,,563648.0,ns,85
kibibyte_random,vendored_std,len_300-prefix_20,,,671847.0,ns,102
kibibyte_random,vendored_std,len_300-prefix_20,,,777219.0,ns,119
kibibyte_random,vendored_std,len_300-prefix_20,,,872805.0,ns,136
kibibyte_random,vendored_std,len_300-prefix_20,,,992747.0,ns,153
kibibyte_random,vendored_std,len_300-prefix_20,,,1126125.0,ns,170
kibibyte_random,vendored_std,len_300-prefix_20,,,1196885.0,ns,187
kibibyte_random,vendored_std,len_300-prefix_20,,,1343235.0,ns,204
kibibyte_random,vendored_std,len_300-prefix_20,,,1410526.0,ns,221
kibibyte_random,vendored_std,len_300-prefix_20,,,1507740.0,ns,238
kibibyte_random,vendored_std,len_300-prefix_20,,,1587664.0,ns,255
kibibyte_random,vendored_std,len_300-prefix_20,,,1676744.0,ns,272
kibibyte_random,vendored_std,len_300-prefix_20,,,1802703.0,ns,289
kibibyte_random,vendored_std,len_300-prefix_20,,,1879173.0,ns,306
kibibyte_random,vendored_std,len_300-prefix_20,,,2027031.0,ns,323
kibibyte_random,vendored_std,len_300-prefix_20,,,2098381.0,ns,340
kibibyte_random,vendored_std,len_300-prefix_20,,,2228920.0,ns,357
kibibyte_random,vendored_std,len_300-prefix_20,,,2313241.0,ns,374
kibibyte_random,vendored_std,len_300-prefix_20,,,2460450.0,ns,391
kibibyte_random,vendored_std,len_300-prefix_20,,,2540910.0,ns,408
kibibyte_random,vendored_std,len_300-prefix_20,,,2633520.0,ns,425
kibibyte_random,vendored_std,len_300-prefix_20,,,2776509.0,ns,442
kibibyte_random,vendored_std,len_300-prefix_20,,,2873268.0,ns,459
kibibyte_random,vendored_std,len_300-prefix_20,,,2978428.0,ns,476
