group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,251419.0,ns,2
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,457679.0,ns,4
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,673967.0,ns,6
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,881896.0,ns,8
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,1087576.0,ns,10
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,1454694.0,ns,12
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,1709693.0,ns,14
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,2265011.0,ns,16
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,2100041.0,ns,18
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,2369060.0,ns,20
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,2811399.0,ns,22
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,2796867.0,ns,24
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,2871089.0,ns,26
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,3101196.0,ns,28
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,3352526.0,ns,30
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,3605566.0,ns,32
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,3831254.0,ns,34
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,4059213.0,ns,36
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,4306742.0,ns,38
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,4507362.0,ns,40
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,4768766.0,ns,42
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,5027302.0,ns,44
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,5238284.0,ns,46
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,5467771.0,ns,48
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,5680561.0,ns,50
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,5955976.0,ns,52
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,6170796.0,ns,54
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,6399635.0,ns,56
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,6642563.0,ns,58
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,6872354.0,ns,60
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,7203450.0,ns,62
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,7380639.0,ns,64
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,7578850.0,ns,66
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,7860988.0,ns,68
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,8140656.0,ns,70
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,8820053.0,ns,72
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,8928354.0,ns,74
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,9155422.0,ns,76
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,9424391.0,ns,78
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,9683539.0,ns,80
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,11076894.0,ns,82
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,10601285.0,ns,84
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,10897175.0,ns,86
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,11104104.0,ns,88
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,11495902.0,ns,90
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,13173455.0,ns,92
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,13128466.0,ns,94
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,13447374.0,ns,96
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,13792074.0,ns,98
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,14645821.0,ns,100
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,15824824.0,ns,102
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,15985033.0,ns,104
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,16408033.0,ns,106
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,16901999.0,ns,108
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,16970519.0,ns,110
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,18740744.0,ns,112
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,19152452.0,ns,114
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,19461889.0,ns,116
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,19830659.0,ns,118
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,20458288.0,ns,120
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,22096529.0,ns,122
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,22293667.0,ns,124
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,22615495.0,ns,126
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,23085823.0,ns,128
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,23286474.0,ns,130
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,26280408.0,ns,132
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,26560340.0,ns,134
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,27198026.0,ns,136
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,28028015.0,ns,138
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,28266482.0,ns,140
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,29851658.0,ns,142
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,29993484.0,ns,144
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,30701784.0,ns,146
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,31319119.0,ns,148
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,31682419.0,ns,150
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,32417107.0,ns,152
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,33045393.0,ns,154
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,33563291.0,ns,156
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,33503342.0,ns,158
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,34443766.0,ns,160
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,35383035.0,ns,162
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,35862713.0,ns,164
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,36241440.0,ns,166
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,36846536.0,ns,168
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,37478995.0,ns,170
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,37943113.0,ns,172
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,38210501.0,ns,174
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,38842440.0,ns,176
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,39727507.0,ns,178
kibibyte_random_d20,partial_sort_1_0_0,len_3000-prefix_16,,,39964356.0,ns,180
