group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_random_d20,select_nth,len_100-prefix_35,,,100739.0,ns,48
kibibyte_random_d20,select_nth,len_100-prefix_35,,,213340.0,ns,96
kibibyte_random_d20,select_nth,len_100-prefix_35,,,332099.0,ns,144
kibibyte_random_d20,select_nth,len_100-prefix_35,,,436308.0,ns,192
kibibyte_random_d20,select_nth,len_100-prefix_35,,,528408.0,ns,240
kibibyte_random_d20,select_nth,len_100-prefix_35,,,619157.0,ns,288
kibibyte_random_d20,select_nth,len_100-prefix_35,,,716828.0,ns,336
kibibyte_random_d20,select_nth,len_100-prefix_35,,,953276.0,ns,384
kibibyte_random_d20,select_nth,len_100-prefix_35,,,1134686.0,ns,432
kibibyte_random_d20,select_nth,len_100-prefix_35,,,1101336.0,ns,480
kibibyte_random_d20,select_nth,len_100-prefix_35,,,1180065.0,ns,528
kibibyte_random_d20,select_nth,len_100-prefix_35,,,1294024.0,ns,576
kibibyte_random_d20,select_nth,len_100-prefix_35,,,1356843.0,ns,624
kibibyte_random_d20,select_nth,len_100-prefix_35,,,1421571.0,ns,672
kibibyte_random_d20,select_nth,len_100-prefix_35,,,1517443.0,ns,720
kibibyte_random_d20,select_nth,len_100-prefix_35,,,1628053.0,ns,768
kibibyte_random_d20,select_nth,len_100-prefix_35,,,1709223.0,ns,816
kibibyte_random_d20,select_nth,len_100-prefix_35,,,1820214.0,ns,864
kibibyte_random_d20,select_nth,len_100-prefix_35,,,1932852.0,ns,912
kibibyte_random_d20,select_nth,len_100-prefix_35,,,2012061.0,ns,960
kibibyte_random_d20,select_nth,len_100-prefix_35,,,2107381.0,ns,1008
kibibyte_random_d20,select_nth,len_100-prefix_35,,,2234292.0,ns,1056
kibibyte_random_d20,select_nth,len_100-prefix_35,,,2356720.0,ns,1104
kibibyte_random_d20,select_nth,len_100-prefix_35,,,2421470.0,ns,1152
kibibyte_random_d20,select_nth,len_100-prefix_35,,,2550239.0,ns,1200
kibibyte_random_d20,select_nth,len_100-prefix_35,,,2643929.0,ns,1248
kibibyte_random_d20,select_nth,len_100-prefix_35,,,2773258.0,ns,1296
kibibyte_random_d20,select_nth,len_100-prefix_35,,,2849649.0,ns,1344
kibibyte_random_d20,select_nth,len_100-prefix_35,,,2967647.0,ns,1392
kibibyte_random_d20,select_nth,len_100-prefix_35,,,3109050.0,ns,1440
kibibyte_random_d20,select_nth,len_100-prefix_35,,,3213053.0,ns,1488
kibibyte_random_d20,select_nth,len_100-prefix_35,,,3289427.0,ns,1536
kibibyte_random_d20,select_nth,len_100-prefix_35,,,3383816.0,ns,1584
kibibyte_random_d20,select_nth,len_100-prefix_35,,,3520244.0,ns,1632
kibibyte_random_d20,select_nth,len_100-prefix_35,,,3599965.0,ns,1680
kibibyte_random_d20,select_nth,len_100-prefix_35,,,3710115.0,ns,1728
kibibyte_random_d20,select_nth,len_100-prefix_35,,,3858455.0,ns,1776
kibibyte_random_d20,select_nth,len_100-prefix_35,,,3930731.0,ns,1824
kibibyte_random_d20,select_nth,len_100-prefix_35,,,4048202.0,ns,1872
kibibyte_random_d20,select_nth,len_100-prefix_35,,,4231193.0,ns,1920
kibibyte_random_d20,select_nth,len_100-prefix_35,,,4364612.0,ns,1968
kibibyte_random_d20,select_nth,len_100-prefix_35,,,4534241.0,ns,2016
kibibyte_random_d20,select_nth,len_100-prefix_35,,,4681330.0,ns,2064
kibibyte_random_d20,select_nth,len_100-prefix_35,,,4809890.0,ns,2112
kibibyte_random_d20,select_nth,len_100-prefix_35,,,4924209.0,ns,2160
