group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,103270.0,ns,176
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,204759.0,ns,352
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,355358.0,ns,528
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,441528.0,ns,704
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,557638.0,ns,880
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,655437.0,ns,1056
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,761746.0,ns,1232
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,873566.0,ns,1408
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,985005.0,ns,1584
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,1094726.0,ns,1760
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,1215834.0,ns,1936
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,1315804.0,ns,2112
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,1439095.0,ns,2288
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,1542144.0,ns,2464
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,1662880.0,ns,2640
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,1775953.0,ns,2816
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,1885452.0,ns,2992
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,1989821.0,ns,3168
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,2108442.0,ns,3344
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,2224561.0,ns,3520
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,2327070.0,ns,3696
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,2471260.0,ns,3872
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,2591669.0,ns,4048
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,2720889.0,ns,4224
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,2837449.0,ns,4400
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,2954647.0,ns,4576
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,3020086.0,ns,4752
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,3162903.0,ns,4928
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,3273843.0,ns,5104
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,3407156.0,ns,5280
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,3523415.0,ns,5456
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,3675694.0,ns,5632
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,3740785.0,ns,5808
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,3870364.0,ns,5984
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,3970585.0,ns,6160
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,4103603.0,ns,6336
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,4241552.0,ns,6512
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,4314261.0,ns,6688
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,4453241.0,ns,6864
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,4610921.0,ns,7040
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,4734770.0,ns,7216
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,4952019.0,ns,7392
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,5120039.0,ns,7568
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,5235479.0,ns,7744
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,5421566.0,ns,7920
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,5572097.0,ns,8096
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,5801666.0,ns,8272
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,6135234.0,ns,8448
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,6081856.0,ns,8624
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,6475853.0,ns,8800
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,6559414.0,ns,8976
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,6889131.0,ns,9152
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,7233231.0,ns,9328
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,7490368.0,ns,9504
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,7715428.0,ns,9680
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,7945175.0,ns,9856
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,8248710.0,ns,10032
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,9004263.0,ns,10208
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,9077053.0,ns,10384
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,9414412.0,ns,10560
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,10327517.0,ns,10736
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,10299027.0,ns,10912
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,10668315.0,ns,11088
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,10880774.0,ns,11264
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,11314613.0,ns,11440
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,11743780.0,ns,11616
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,12743285.0,ns,11792
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,12732217.0,ns,11968
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,13168875.0,ns,12144
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,13564866.0,ns,12320
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,14277271.0,ns,12496
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,14559531.0,ns,12672
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,14724300.0,ns,12848
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,15395457.0,ns,13024
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,15908226.0,ns,13200
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,16303673.0,ns,13376
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,16713641.0,ns,13552
kibibyte_random_d20,vendored_std,len_25-prefix_45,,,17257268.0,ns,13728
