group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,10050.0,ns,518
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,22599.0,ns,1036
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,34930.0,ns,1554
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,47330.0,ns,2072
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,56870.0,ns,2590
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,69669.0,ns,3108
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,85260.0,ns,3626
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,94419.0,ns,4144
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,109959.0,ns,4662
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,122179.0,ns,5180
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,136429.0,ns,5698
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,148230.0,ns,6216
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,163189.0,ns,6734
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,180588.0,ns,7252
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,189079.0,ns,7770
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,201540.0,ns,8288
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,216549.0,ns,8806
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,234119.0,ns,9324
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,254028.0,ns,9842
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,259239.0,ns,10360
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,271599.0,ns,10878
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,277890.0,ns,11396
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,272147.0,ns,11914
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,283128.0,ns,12432
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,297129.0,ns,12950
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,310508.0,ns,13468
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,325009.0,ns,13986
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,336049.0,ns,14504
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,347048.0,ns,15022
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,366158.0,ns,15540
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,369379.0,ns,16058
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,381869.0,ns,16576
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,400600.0,ns,17094
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,410608.0,ns,17612
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,428078.0,ns,18130
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,452847.0,ns,18648
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,463397.0,ns,19166
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,486868.0,ns,19684
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,511798.0,ns,20202
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,535587.0,ns,20720
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,556970.0,ns,21238
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,609118.0,ns,21756
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,634986.0,ns,22274
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,666127.0,ns,22792
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,719208.0,ns,23310
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,807215.0,ns,23828
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,839197.0,ns,24346
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,934018.0,ns,24864
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,969770.0,ns,25382
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,1046845.0,ns,25900
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,1109135.0,ns,26418
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,1179055.0,ns,26936
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,1297405.0,ns,27454
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,1377134.0,ns,27972
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,1433123.0,ns,28490
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,1542814.0,ns,29008
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,1599983.0,ns,29526
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,1690894.0,ns,30044
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,1754265.0,ns,30562
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,1813313.0,ns,31080
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,1864815.0,ns,31598
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,1978410.0,ns,32116
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,2062011.0,ns,32634
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,2161023.0,ns,33152
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,2220340.0,ns,33670
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,2308520.0,ns,34188
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,2377190.0,ns,34706
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,2453550.0,ns,35224
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,3053987.0,ns,35742
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,3146709.0,ns,36260
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,3336186.0,ns,36778
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,3370796.0,ns,37296
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,3410587.0,ns,37814
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,3557447.0,ns,38332
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,3578355.0,ns,38850
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,3646134.0,ns,39368
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,3776591.0,ns,39886
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,3851133.0,ns,40404
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,3948770.0,ns,40922
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,4098382.0,ns,41440
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,3965684.0,ns,41958
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,4059851.0,ns,42476
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,4156621.0,ns,42994
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,4331235.0,ns,43512
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,4308443.0,ns,44030
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,4369190.0,ns,44548
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,4568610.0,ns,45066
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,4803940.0,ns,45584
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,4705100.0,ns,46102
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,4731062.0,ns,46620
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,4771541.0,ns,47138
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,4976800.0,ns,47656
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,5115217.0,ns,48174
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,5118740.0,ns,48692
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,5220400.0,ns,49210
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,5194428.0,ns,49728
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,5422808.0,ns,50246
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,5495427.0,ns,50764
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,5577040.0,ns,51282
kibibyte_random_p5,partial_sort_1_0_0,len_12-prefix_7,,,5715827.0,ns,51800
