group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_random_p95,select_nth,len_2-prefix_35,,,47070.0,ns,2022
kibibyte_random_p95,select_nth,len_2-prefix_35,,,93230.0,ns,4044
kibibyte_random_p95,select_nth,len_2-prefix_35,,,189580.0,ns,6066
kibibyte_random_p95,select_nth,len_2-prefix_35,,,223150.0,ns,8088
kibibyte_random_p95,select_nth,len_2-prefix_35,,,278390.0,ns,10110
kibibyte_random_p95,select_nth,len_2-prefix_35,,,329448.0,ns,12132
kibibyte_random_p95,select_nth,len_2-prefix_35,,,387347.0,ns,14154
kibibyte_random_p95,select_nth,len_2-prefix_35,,,441877.0,ns,16176
kibibyte_random_p95,select_nth,len_2-prefix_35,,,500148.0,ns,18198
kibibyte_random_p95,select_nth,len_2-prefix_35,,,556970.0,ns,20220
kibibyte_random_p95,select_nth,len_2-prefix_35,,,615736.0,ns,22242
kibibyte_random_p95,select_nth,len_2-prefix_35,,,678599.0,ns,24264
kibibyte_random_p95,select_nth,len_2-prefix_35,,,730416.0,ns,26286
kibibyte_random_p95,select_nth,len_2-prefix_35,,,786177.0,ns,28308
kibibyte_random_p95,select_nth,len_2-prefix_35,,,849506.0,ns,30330
kibibyte_random_p95,select_nth,len_2-prefix_35,,,902945.0,ns,32352
kibibyte_random_p95,select_nth,len_2-prefix_35,,,953156.0,ns,34374
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1011035.0,ns,36396
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1064466.0,ns,38418
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1131036.0,ns,40440
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1191424.0,ns,42462
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1261148.0,ns,44484
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1304834.0,ns,46506
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1348873.0,ns,48528
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1406974.0,ns,50550
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1469684.0,ns,52572
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1512265.0,ns,54594
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1569142.0,ns,56616
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1629874.0,ns,58638
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1682903.0,ns,60660
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1739743.0,ns,62682
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1804252.0,ns,64704
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1830913.0,ns,66726
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1877472.0,ns,68748
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1928392.0,ns,70770
kibibyte_random_p95,select_nth,len_2-prefix_35,,,1977311.0,ns,72792
kibibyte_random_p95,select_nth,len_2-prefix_35,,,2065303.0,ns,74814
kibibyte_random_p95,select_nth,len_2-prefix_35,,,2110851.0,ns,76836
kibibyte_random_p95,select_nth,len_2-prefix_35,,,2176511.0,ns,78858
kibibyte_random_p95,select_nth,len_2-prefix_35,,,2215320.0,ns,80880
kibibyte_random_p95,select_nth,len_2-prefix_35,,,2253180.0,ns,82902
kibibyte_random_p95,select_nth,len_2-prefix_35,,,2336810.0,ns,84924
kibibyte_random_p95,select_nth,len_2-prefix_35,,,2394180.0,ns,86946
kibibyte_random_p95,select_nth,len_2-prefix_35,,,2420170.0,ns,88968
kibibyte_random_p95,select_nth,len_2-prefix_35,,,2485810.0,ns,90990
kibibyte_random_p95,select_nth,len_2-prefix_35,,,2653060.0,ns,93012
kibibyte_random_p95,select_nth,len_2-prefix_35,,,2753807.0,ns,95034
kibibyte_random_p95,select_nth,len_2-prefix_35,,,2780469.0,ns,97056
kibibyte_random_p95,select_nth,len_2-prefix_35,,,2893987.0,ns,99078
kibibyte_random_p95,select_nth,len_2-prefix_35,,,2987328.0,ns,101100
kibibyte_random_p95,select_nth,len_2-prefix_35,,,3347199.0,ns,103122
kibibyte_random_p95,select_nth,len_2-prefix_35,,,3382689.0,ns,105144
kibibyte_random_p95,select_nth,len_2-prefix_35,,,3650345.0,ns,107166
kibibyte_random_p95,select_nth,len_2-prefix_35,,,3774685.0,ns,109188
kibibyte_random_p95,select_nth,len_2-prefix_35,,,4076673.0,ns,111210
kibibyte_random_p95,select_nth,len_2-prefix_35,,,5047228.0,ns,113232
kibibyte_random_p95,select_nth,len_2-prefix_35,,,4988150.0,ns,115254
kibibyte_random_p95,select_nth,len_2-prefix_35,,,5442979.0,ns,117276
kibibyte_random_p95,select_nth,len_2-prefix_35,,,5467818.0,ns,119298
kibibyte_random_p95,select_nth,len_2-prefix_35,,,5115059.0,ns,121320
kibibyte_random_p95,select_nth,len_2-prefix_35,,,5271907.0,ns,123342
kibibyte_random_p95,select_nth,len_2-prefix_35,,,5954237.0,ns,125364
kibibyte_random_p95,select_nth,len_2-prefix_35,,,6094154.0,ns,127386
kibibyte_random_p95,select_nth,len_2-prefix_35,,,7537220.0,ns,129408
kibibyte_random_p95,select_nth,len_2-prefix_35,,,9537470.0,ns,131430
kibibyte_random_p95,select_nth,len_2-prefix_35,,,7794727.0,ns,133452
kibibyte_random_p95,select_nth,len_2-prefix_35,,,7999576.0,ns,135474
kibibyte_random_p95,select_nth,len_2-prefix_35,,,8879373.0,ns,137496
kibibyte_random_p95,select_nth,len_2-prefix_35,,,8674414.0,ns,139518
kibibyte_random_p95,select_nth,len_2-prefix_35,,,8941904.0,ns,141540
kibibyte_random_p95,select_nth,len_2-prefix_35,,,9085134.0,ns,143562
kibibyte_random_p95,select_nth,len_2-prefix_35,,,9289723.0,ns,145584
kibibyte_random_p95,select_nth,len_2-prefix_35,,,9686630.0,ns,147606
kibibyte_random_p95,select_nth,len_2-prefix_35,,,10158119.0,ns,149628
kibibyte_random_p95,select_nth,len_2-prefix_35,,,10834586.0,ns,151650
kibibyte_random_p95,select_nth,len_2-prefix_35,,,10931345.0,ns,153672
kibibyte_random_p95,select_nth,len_2-prefix_35,,,10633917.0,ns,155694
kibibyte_random_p95,select_nth,len_2-prefix_35,,,12582536.0,ns,157716
kibibyte_random_p95,select_nth,len_2-prefix_35,,,17133240.0,ns,159738
kibibyte_random_p95,select_nth,len_2-prefix_35,,,13409244.0,ns,161760
