group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,180839.0,ns,8
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,358540.0,ns,16
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,557576.0,ns,24
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,711337.0,ns,32
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,885847.0,ns,40
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,1128386.0,ns,48
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,1365431.0,ns,56
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,1603264.0,ns,64
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,1780622.0,ns,72
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,1970453.0,ns,80
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,2168002.0,ns,88
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,2378730.0,ns,96
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,2552139.0,ns,104
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,2728470.0,ns,112
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,2914874.0,ns,120
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,3106017.0,ns,128
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,3310655.0,ns,136
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,3547656.0,ns,144
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,3702044.0,ns,152
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,3895894.0,ns,160
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,4135823.0,ns,168
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,4329080.0,ns,176
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,4504443.0,ns,184
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,4691800.0,ns,192
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,4849120.0,ns,200
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,5072130.0,ns,208
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,5249238.0,ns,216
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,5479835.0,ns,224
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,5646329.0,ns,232
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,5862785.0,ns,240
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,6070026.0,ns,248
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,6248105.0,ns,256
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,6455784.0,ns,264
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,6604922.0,ns,272
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,6824112.0,ns,280
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,7018201.0,ns,288
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,7172350.0,ns,296
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,7400949.0,ns,304
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,7633627.0,ns,312
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,7811248.0,ns,320
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,8067507.0,ns,328
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,8282816.0,ns,336
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,8548605.0,ns,344
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,8695034.0,ns,352
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,8920504.0,ns,360
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,9150594.0,ns,368
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,9349741.0,ns,376
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,9636020.0,ns,384
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,9888918.0,ns,392
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,10074768.0,ns,400
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,10317359.0,ns,408
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,10635826.0,ns,416
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,10929505.0,ns,424
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,11298493.0,ns,432
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,11523653.0,ns,440
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,11934350.0,ns,448
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,12080780.0,ns,456
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,12374331.0,ns,464
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,12741639.0,ns,472
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,13058814.0,ns,480
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,13276951.0,ns,488
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,13955023.0,ns,496
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,14205681.0,ns,504
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,14541321.0,ns,512
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,14846059.0,ns,520
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,15055317.0,ns,528
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,15501376.0,ns,536
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,16078313.0,ns,544
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,16527851.0,ns,552
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,17363922.0,ns,560
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,17199289.0,ns,568
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,18362263.0,ns,576
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,18126179.0,ns,584
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,18767872.0,ns,592
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,19128602.0,ns,600
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,19704466.0,ns,608
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,20301636.0,ns,616
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,20883783.0,ns,624
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,21433971.0,ns,632
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,22229398.0,ns,640
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,22606064.0,ns,648
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,23369673.0,ns,656
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,23658383.0,ns,664
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,24509760.0,ns,672
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,24585488.0,ns,680
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,25757483.0,ns,688
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,26102163.0,ns,696
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,26533491.0,ns,704
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,27386478.0,ns,712
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,28020674.0,ns,720
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,28569602.0,ns,728
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,29575899.0,ns,736
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,31950258.0,ns,744
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,30533314.0,ns,752
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,30636283.0,ns,760
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,31554961.0,ns,768
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,33228473.0,ns,776
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,33734332.0,ns,784
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,34217169.0,ns,792
kibibyte_random_z1,partial_sort_1_0_0,len_500-prefix_30,,,34602586.0,ns,800
