group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,78789.0,ns,2
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,159599.0,ns,4
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,242509.0,ns,6
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,342708.0,ns,8
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,402578.0,ns,10
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,451120.0,ns,12
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,527047.0,ns,14
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,597948.0,ns,16
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,648487.0,ns,18
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,713707.0,ns,20
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,816706.0,ns,22
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,834507.0,ns,24
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,976408.0,ns,26
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,949785.0,ns,28
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1050035.0,ns,30
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1025278.0,ns,32
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1116285.0,ns,34
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1156924.0,ns,36
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1256664.0,ns,38
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1289105.0,ns,40
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1330846.0,ns,42
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1414094.0,ns,44
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1507493.0,ns,46
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1617083.0,ns,48
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1615483.0,ns,50
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1757563.0,ns,52
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1773762.0,ns,54
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1776151.0,ns,56
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1871654.0,ns,58
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,1977732.0,ns,60
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,2083423.0,ns,62
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,2154101.0,ns,64
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,2214031.0,ns,66
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,2373680.0,ns,68
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,2404380.0,ns,70
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,2788878.0,ns,72
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,2710679.0,ns,74
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,3829533.0,ns,76
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,2886470.0,ns,78
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,3105558.0,ns,80
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,3709777.0,ns,82
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,3973845.0,ns,84
kibibyte_random_z1,select_nth,len_3000-prefix_1,,,3770064.0,ns,86
