group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,48860.0,ns,10
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,116450.0,ns,20
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,200179.0,ns,30
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,254329.0,ns,40
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,317149.0,ns,50
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,355008.0,ns,60
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,444537.0,ns,70
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,498468.0,ns,80
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,577618.0,ns,90
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,644646.0,ns,100
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,695710.0,ns,110
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,738707.0,ns,120
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,782188.0,ns,130
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,895916.0,ns,140
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,948396.0,ns,150
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,983597.0,ns,160
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1052335.0,ns,170
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1068335.0,ns,180
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1087955.0,ns,190
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1129675.0,ns,200
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1195474.0,ns,210
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1293660.0,ns,220
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1321616.0,ns,230
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1377395.0,ns,240
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1419124.0,ns,250
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1463665.0,ns,260
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1510783.0,ns,270
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1596923.0,ns,280
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1619074.0,ns,290
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1737944.0,ns,300
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1805251.0,ns,310
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1831774.0,ns,320
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1930091.0,ns,330
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,1979462.0,ns,340
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,2025202.0,ns,350
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,2087652.0,ns,360
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,2194930.0,ns,370
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,2269341.0,ns,380
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,2427370.0,ns,390
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,2476320.0,ns,400
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,2642208.0,ns,410
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,2871967.0,ns,420
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,2824958.0,ns,430
kibibyte_random_z1,vendored_std,len_500-prefix_9,,,3046417.0,ns,440
