group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,24410.0,ns,324
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,48030.0,ns,648
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,76109.0,ns,972
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,121330.0,ns,1296
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,160550.0,ns,1620
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,201549.0,ns,1944
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,235999.0,ns,2268
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,263890.0,ns,2592
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,294900.0,ns,2916
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,315669.0,ns,3240
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,344508.0,ns,3564
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,369780.0,ns,3888
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,391798.0,ns,4212
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,422318.0,ns,4536
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,445179.0,ns,4860
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,475908.0,ns,5184
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,499419.0,ns,5508
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,526350.0,ns,5832
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,549547.0,ns,6156
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,578588.0,ns,6480
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,599185.0,ns,6804
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,632437.0,ns,7128
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,652057.0,ns,7452
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,682457.0,ns,7776
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,704097.0,ns,8100
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,735198.0,ns,8424
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,761206.0,ns,8748
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,788257.0,ns,9072
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,816107.0,ns,9396
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,841807.0,ns,9720
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,863437.0,ns,10044
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,891887.0,ns,10368
string_ascending,partial_sort_1_0_0,len_50-prefix_4,,,913627.0,ns,10692
