group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_ascending,select_nth,len_5000-prefix_40,,,363838.0,ns,4
string_ascending,select_nth,len_5000-prefix_40,,,468968.0,ns,8
string_ascending,select_nth,len_5000-prefix_40,,,715546.0,ns,12
string_ascending,select_nth,len_5000-prefix_40,,,951517.0,ns,16
string_ascending,select_nth,len_5000-prefix_40,,,1186967.0,ns,20
string_ascending,select_nth,len_5000-prefix_40,,,1414364.0,ns,24
string_ascending,select_nth,len_5000-prefix_40,,,1625483.0,ns,28
string_ascending,select_nth,len_5000-prefix_40,,,1861262.0,ns,32
string_ascending,select_nth,len_5000-prefix_40,,,2087062.0,ns,36
string_ascending,select_nth,len_5000-prefix_40,,,2318941.0,ns,40
string_ascending,select_nth,len_5000-prefix_40,,,2547893.0,ns,44
string_ascending,select_nth,len_5000-prefix_40,,,2780371.0,ns,48
string_ascending,select_nth,len_5000-prefix_40,,,3020548.0,ns,52
string_ascending,select_nth,len_5000-prefix_40,,,3250236.0,ns,56
string_ascending,select_nth,len_5000-prefix_40,,,3483404.0,ns,60
string_ascending,select_nth,len_5000-prefix_40,,,3703535.0,ns,64
string_ascending,select_nth,len_5000-prefix_40,,,3961303.0,ns,68
string_ascending,select_nth,len_5000-prefix_40,,,4191253.0,ns,72
string_ascending,select_nth,len_5000-prefix_40,,,4420792.0,ns,76
string_ascending,select_nth,len_5000-prefix_40,,,4658460.0,ns,80
string_ascending,select_nth,len_5000-prefix_40,,,4897769.0,ns,84
string_ascending,select_nth,len_5000-prefix_40,,,5129886.0,ns,88
string_ascending,select_nth,len_5000-prefix_40,,,5354538.0,ns,92
string_ascending,select_nth,len_5000-prefix_40,,,5567245.0,ns,96
string_ascending,select_nth,len_5000-prefix_40,,,5794686.0,ns,100
string_ascending,select_nth,len_5000-prefix_40,,,6035535.0,ns,104
string_ascending,select_nth,len_5000-prefix_40,,,6252115.0,ns,108
string_ascending,select_nth,len_5000-prefix_40,,,6512373.0,ns,112
string_ascending,select_nth,len_5000-prefix_40,,,6854360.0,ns,116
string_ascending,select_nth,len_5000-prefix_40,,,6849141.0,ns,120
string_ascending,select_nth,len_5000-prefix_40,,,7089930.0,ns,124
string_ascending,select_nth,len_5000-prefix_40,,,7326210.0,ns,128
string_ascending,select_nth,len_5000-prefix_40,,,7540291.0,ns,132
string_ascending,select_nth,len_5000-prefix_40,,,7777237.0,ns,136
