group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_ascending,vendored_std,len_1-prefix_60,,,50210.0,ns,12554
string_ascending,vendored_std,len_1-prefix_60,,,86730.0,ns,25108
string_ascending,vendored_std,len_1-prefix_60,,,133529.0,ns,37662
string_ascending,vendored_std,len_1-prefix_60,,,191599.0,ns,50216
string_ascending,vendored_std,len_1-prefix_60,,,244239.0,ns,62770
string_ascending,vendored_std,len_1-prefix_60,,,298689.0,ns,75324
string_ascending,vendored_std,len_1-prefix_60,,,352918.0,ns,87878
string_ascending,vendored_std,len_1-prefix_60,,,408189.0,ns,100432
string_ascending,vendored_std,len_1-prefix_60,,,457368.0,ns,112986
string_ascending,vendored_std,len_1-prefix_60,,,509959.0,ns,125540
string_ascending,vendored_std,len_1-prefix_60,,,561657.0,ns,138094
string_ascending,vendored_std,len_1-prefix_60,,,607126.0,ns,150648
string_ascending,vendored_std,len_1-prefix_60,,,660685.0,ns,163202
string_ascending,vendored_std,len_1-prefix_60,,,689867.0,ns,175756
string_ascending,vendored_std,len_1-prefix_60,,,730809.0,ns,188310
string_ascending,vendored_std,len_1-prefix_60,,,778236.0,ns,200864
string_ascending,vendored_std,len_1-prefix_60,,,814456.0,ns,213418
string_ascending,vendored_std,len_1-prefix_60,,,852570.0,ns,225972
string_ascending,vendored_std,len_1-prefix_60,,,894125.0,ns,238526
string_ascending,vendored_std,len_1-prefix_60,,,939556.0,ns,251080
string_ascending,vendored_std,len_1-prefix_60,,,996406.0,ns,263634
string_ascending,vendored_std,len_1-prefix_60,,,1022805.0,ns,276188
string_ascending,vendored_std,len_1-prefix_60,,,1063046.0,ns,288742
string_ascending,vendored_std,len_1-prefix_60,,,1103314.0,ns,301296
string_ascending,vendored_std,len_1-prefix_60,,,1151155.0,ns,313850
string_ascending,vendored_std,len_1-prefix_60,,,1194130.0,ns,326404
string_ascending,vendored_std,len_1-prefix_60,,,1227035.0,ns,338958
string_ascending,vendored_std,len_1-prefix_60,,,1269436.0,ns,351512
string_ascending,vendored_std,len_1-prefix_60,,,1313495.0,ns,364066
string_ascending,vendored_std,len_1-prefix_60,,,1366975.0,ns,376620
string_ascending,vendored_std,len_1-prefix_60,,,1398584.0,ns,389174
string_ascending,vendored_std,len_1-prefix_60,,,1440454.0,ns,401728
string_ascending,vendored_std,len_1-prefix_60,,,1484764.0,ns,414282
string_ascending,vendored_std,len_1-prefix_60,,,1521134.0,ns,426836
string_ascending,vendored_std,len_1-prefix_60,,,1572814.0,ns,439390
string_ascending,vendored_std,len_1-prefix_60,,,1615362.0,ns,451944
string_ascending,vendored_std,len_1-prefix_60,,,1653644.0,ns,464498
string_ascending,vendored_std,len_1-prefix_60,,,1701963.0,ns,477052
string_ascending,vendored_std,len_1-prefix_60,,,1740461.0,ns,489606
string_ascending,vendored_std,len_1-prefix_60,,,1782453.0,ns,502160
string_ascending,vendored_std,len_1-prefix_60,,,1823312.0,ns,514714
string_ascending,vendored_std,len_1-prefix_60,,,1866143.0,ns,527268
string_ascending,vendored_std,len_1-prefix_60,,,1909062.0,ns,539822
string_ascending,vendored_std,len_1-prefix_60,,,1946152.0,ns,552376
string_ascending,vendored_std,len_1-prefix_60,,,1982582.0,ns,564930
string_ascending,vendored_std,len_1-prefix_60,,,2013632.0,ns,577484
string_ascending,vendored_std,len_1-prefix_60,,,2155951.0,ns,590038
string_ascending,vendored_std,len_1-prefix_60,,,2092442.0,ns,602592
string_ascending,vendored_std,len_1-prefix_60,,,2138002.0,ns,615146
string_ascending,vendored_std,len_1-prefix_60,,,2182642.0,ns,627700
string_ascending,vendored_std,len_1-prefix_60,,,2218190.0,ns,640254
string_ascending,vendored_std,len_1-prefix_60,,,2277611.0,ns,652808
string_ascending,vendored_std,len_1-prefix_60,,,2302280.0,ns,665362
string_ascending,vendored_std,len_1-prefix_60,,,2345910.0,ns,677916
string_ascending,vendored_std,len_1-prefix_60,,,2391650.0,ns,690470
string_ascending,vendored_std,len_1-prefix_60,,,2433050.0,ns,703024
string_ascending,vendored_std,len_1-prefix_60,,,2480810.0,ns,715578
string_ascending,vendored_std,len_1-prefix_60,,,2520870.0,ns,728132
string_ascending,vendored_std,len_1-prefix_60,,,2554909.0,ns,740686
string_ascending,vendored_std,len_1-prefix_60,,,2601110.0,ns,753240
string_ascending,vendored_std,len_1-prefix_60,,,2644650.0,ns,765794
string_ascending,vendored_std,len_1-prefix_60,,,2677199.0,ns,778348
string_ascending,vendored_std,len_1-prefix_60,,,2728720.0,ns,790902
string_ascending,vendored_std,len_1-prefix_60,,,2761759.0,ns,803456
string_ascending,vendored_std,len_1-prefix_60,,,2799128.0,ns,816010
string_ascending,vendored_std,len_1-prefix_60,,,2840099.0,ns,828564
string_ascending,vendored_std,len_1-prefix_60,,,2881658.0,ns,841118
string_ascending,vendored_std,len_1-prefix_60,,,2922248.0,ns,853672
string_ascending,vendored_std,len_1-prefix_60,,,2965699.0,ns,866226
string_ascending,vendored_std,len_1-prefix_60,,,3007757.0,ns,878780
string_ascending,vendored_std,len_1-prefix_60,,,3191088.0,ns,891334
string_ascending,vendored_std,len_1-prefix_60,,,3101058.0,ns,903888
string_ascending,vendored_std,len_1-prefix_60,,,3132998.0,ns,916442
string_ascending,vendored_std,len_1-prefix_60,,,3166986.0,ns,928996
string_ascending,vendored_std,len_1-prefix_60,,,3213586.0,ns,941550
string_ascending,vendored_std,len_1-prefix_60,,,3254485.0,ns,954104
string_ascending,vendored_std,len_1-prefix_60,,,3309075.0,ns,966658
string_ascending,vendored_std,len_1-prefix_60,,,3347926.0,ns,979212
string_ascending,vendored_std,len_1-prefix_60,,,3376545.0,ns,991766
string_ascending,vendored_std,len_1-prefix_60,,,3425186.0,ns,1004320
string_ascending,vendored_std,len_1-prefix_60,,,3460584.0,ns,1016874
string_ascending,vendored_std,len_1-prefix_60,,,3508895.0,ns,1029428
string_ascending,vendored_std,len_1-prefix_60,,,3560326.0,ns,1041982
string_ascending,vendored_std,len_1-prefix_60,,,3587294.0,ns,1054536
string_ascending,vendored_std,len_1-prefix_60,,,3621894.0,ns,1067090
string_ascending,vendored_std,len_1-prefix_60,,,3678404.0,ns,1079644
string_ascending,vendored_std,len_1-prefix_60,,,3726244.0,ns,1092198
string_ascending,vendored_std,len_1-prefix_60,,,3757655.0,ns,1104752
string_ascending,vendored_std,len_1-prefix_60,,,3779764.0,ns,1117306
string_ascending,vendored_std,len_1-prefix_60,,,3831074.0,ns,1129860
string_ascending,vendored_std,len_1-prefix_60,,,3870114.0,ns,1142414
string_ascending,vendored_std,len_1-prefix_60,,,3915476.0,ns,1154968
string_ascending,vendored_std,len_1-prefix_60,,,3956324.0,ns,1167522
string_ascending,vendored_std,len_1-prefix_60,,,3993165.0,ns,1180076
string_ascending,vendored_std,len_1-prefix_60,,,4051785.0,ns,1192630
string_ascending,vendored_std,len_1-prefix_60,,,4078031.0,ns,1205184
string_ascending,vendored_std,len_1-prefix_60,,,4125463.0,ns,1217738
string_ascending,vendored_std,len_1-prefix_60,,,4177493.0,ns,1230292
string_ascending,vendored_std,len_1-prefix_60,,,4196463.0,ns,1242846
string_ascending,vendored_std,len_1-prefix_60,,,4249082.0,ns,1255400
