group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,773517.0,ns,1
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,1541344.0,ns,2
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,2329801.0,ns,3
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,3094147.0,ns,4
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,3853034.0,ns,5
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,4631922.0,ns,6
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,5388557.0,ns,7
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,6172945.0,ns,8
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,6942141.0,ns,9
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,7724728.0,ns,10
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,8395535.0,ns,11
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,9176953.0,ns,12
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,9966118.0,ns,13
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,10726256.0,ns,14
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,11531613.0,ns,15
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,12262269.0,ns,16
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,13057847.0,ns,17
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,13896332.0,ns,18
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,14665311.0,ns,19
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,15401387.0,ns,20
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,16121993.0,ns,21
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,16820760.0,ns,22
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,17574517.0,ns,23
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,18417504.0,ns,24
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,19143622.0,ns,25
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,19921727.0,ns,26
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,20688575.0,ns,27
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,21436622.0,ns,28
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,22132118.0,ns,29
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,22879595.0,ns,30
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,23674473.0,ns,31
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,24321880.0,ns,32
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,25155986.0,ns,33
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,25932924.0,ns,34
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,26893339.0,ns,35
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,28037033.0,ns,36
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,28224242.0,ns,37
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,28970831.0,ns,38
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,29823266.0,ns,39
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,30625803.0,ns,40
string_descending,partial_sort_1_0_0,len_10000-prefix_80,,,31268820.0,ns,41
