group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_descending,select_nth,len_300-prefix_100,,,261279.0,ns,46
string_descending,select_nth,len_300-prefix_100,,,520757.0,ns,92
string_descending,select_nth,len_300-prefix_100,,,790145.0,ns,138
string_descending,select_nth,len_300-prefix_100,,,1065386.0,ns,184
string_descending,select_nth,len_300-prefix_100,,,1409836.0,ns,230
string_descending,select_nth,len_300-prefix_100,,,1619573.0,ns,276
string_descending,select_nth,len_300-prefix_100,,,1894373.0,ns,322
string_descending,select_nth,len_300-prefix_100,,,2169212.0,ns,368
string_descending,select_nth,len_300-prefix_100,,,2437530.0,ns,414
string_descending,select_nth,len_300-prefix_100,,,2704667.0,ns,460
string_descending,select_nth,len_300-prefix_100,,,2956768.0,ns,506
string_descending,select_nth,len_300-prefix_100,,,3184505.0,ns,552
string_descending,select_nth,len_300-prefix_100,,,3443886.0,ns,598
string_descending,select_nth,len_300-prefix_100,,,3695614.0,ns,644
string_descending,select_nth,len_300-prefix_100,,,3986033.0,ns,690
string_descending,select_nth,len_300-prefix_100,,,4231670.0,ns,736
string_descending,select_nth,len_300-prefix_100,,,4481393.0,ns,782
string_descending,select_nth,len_300-prefix_100,,,4787430.0,ns,828
string_descending,select_nth,len_300-prefix_100,,,5065529.0,ns,874
string_descending,select_nth,len_300-prefix_100,,,5340130.0,ns,920
string_descending,select_nth,len_300-prefix_100,,,5587047.0,ns,966
string_descending,select_nth,len_300-prefix_100,,,5878475.0,ns,1012
string_descending,select_nth,len_300-prefix_100,,,6130657.0,ns,1058
string_descending,select_nth,len_300-prefix_100,,,6289554.0,ns,1104
string_descending,select_nth,len_300-prefix_100,,,6547173.0,ns,1150
string_descending,select_nth,len_300-prefix_100,,,6823612.0,ns,1196
string_descending,select_nth,len_300-prefix_100,,,7077051.0,ns,1242
string_descending,select_nth,len_300-prefix_100,,,7343340.0,ns,1288
string_descending,select_nth,len_300-prefix_100,,,7630589.0,ns,1334
string_descending,select_nth,len_300-prefix_100,,,7872478.0,ns,1380
string_descending,select_nth,len_300-prefix_100,,,8149877.0,ns,1426
string_descending,select_nth,len_300-prefix_100,,,8502894.0,ns,1472
string_descending,select_nth,len_300-prefix_100,,,8803805.0,ns,1518
string_descending,select_nth,len_300-prefix_100,,,9075503.0,ns,1564
string_descending,select_nth,len_300-prefix_100,,,9324482.0,ns,1610
string_descending,select_nth,len_300-prefix_100,,,9583780.0,ns,1656
string_descending,select_nth,len_300-prefix_100,,,9851899.0,ns,1702
string_descending,select_nth,len_300-prefix_100,,,10116069.0,ns,1748
string_descending,select_nth,len_300-prefix_100,,,10433597.0,ns,1794
string_descending,select_nth,len_300-prefix_100,,,10660167.0,ns,1840
string_descending,select_nth,len_300-prefix_100,,,10836695.0,ns,1886
string_descending,select_nth,len_300-prefix_100,,,11231972.0,ns,1932
string_descending,select_nth,len_300-prefix_100,,,11468994.0,ns,1978
string_descending,select_nth,len_300-prefix_100,,,11716253.0,ns,2024
string_descending,select_nth,len_300-prefix_100,,,11989541.0,ns,2070
string_descending,select_nth,len_300-prefix_100,,,12195578.0,ns,2116
string_descending,select_nth,len_300-prefix_100,,,12489928.0,ns,2162
string_descending,select_nth,len_300-prefix_100,,,12766489.0,ns,2208
string_descending,select_nth,len_300-prefix_100,,,13029875.0,ns,2254
