group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_descending,vendored_std,len_5000-prefix_25,,,181670.0,ns,4
string_descending,vendored_std,len_5000-prefix_25,,,362328.0,ns,8
string_descending,vendored_std,len_5000-prefix_25,,,574438.0,ns,12
string_descending,vendored_std,len_5000-prefix_25,,,758038.0,ns,16
string_descending,vendored_std,len_5000-prefix_25,,,949956.0,ns,20
string_descending,vendored_std,len_5000-prefix_25,,,1120106.0,ns,24
string_descending,vendored_std,len_5000-prefix_25,,,1309922.0,ns,28
string_descending,vendored_std,len_5000-prefix_25,,,1470022.0,ns,32
string_descending,vendored_std,len_5000-prefix_25,,,1651661.0,ns,36
string_descending,vendored_std,len_5000-prefix_25,,,1844360.0,ns,40
string_descending,vendored_std,len_5000-prefix_25,,,2012391.0,ns,44
string_descending,vendored_std,len_5000-prefix_25,,,2190300.0,ns,48
string_descending,vendored_std,len_5000-prefix_25,,,2372210.0,ns,52
string_descending,vendored_std,len_5000-prefix_25,,,2548260.0,ns,56
string_descending,vendored_std,len_5000-prefix_25,,,2731650.0,ns,60
string_descending,vendored_std,len_5000-prefix_25,,,2893019.0,ns,64
string_descending,vendored_std,len_5000-prefix_25,,,3073317.0,ns,68
string_descending,vendored_std,len_5000-prefix_25,,,3255736.0,ns,72
string_descending,vendored_std,len_5000-prefix_25,,,3447456.0,ns,76
string_descending,vendored_std,len_5000-prefix_25,,,3613145.0,ns,80
string_descending,vendored_std,len_5000-prefix_25,,,3790804.0,ns,84
string_descending,vendored_std,len_5000-prefix_25,,,3962724.0,ns,88
string_descending,vendored_std,len_5000-prefix_25,,,4149162.0,ns,92
string_descending,vendored_std,len_5000-prefix_25,,,4332521.0,ns,96
string_descending,vendored_std,len_5000-prefix_25,,,4500451.0,ns,100
string_descending,vendored_std,len_5000-prefix_25,,,4684831.0,ns,104
string_descending,vendored_std,len_5000-prefix_25,,,4840311.0,ns,108
string_descending,vendored_std,len_5000-prefix_25,,,5045910.0,ns,112
string_descending,vendored_std,len_5000-prefix_25,,,5227248.0,ns,116
string_descending,vendored_std,len_5000-prefix_25,,,5396698.0,ns,120
string_descending,vendored_std,len_5000-prefix_25,,,5576818.0,ns,124
string_descending,vendored_std,len_5000-prefix_25,,,5764197.0,ns,128
string_descending,vendored_std,len_5000-prefix_25,,,5957705.0,ns,132
string_descending,vendored_std,len_5000-prefix_25,,,6135944.0,ns,136
string_descending,vendored_std,len_5000-prefix_25,,,6316053.0,ns,140
string_descending,vendored_std,len_5000-prefix_25,,,6492154.0,ns,144
string_descending,vendored_std,len_5000-prefix_25,,,6649512.0,ns,148
string_descending,vendored_std,len_5000-prefix_25,,,6853372.0,ns,152
string_descending,vendored_std,len_5000-prefix_25,,,7029001.0,ns,156
string_descending,vendored_std,len_5000-prefix_25,,,7212721.0,ns,160
string_descending,vendored_std,len_5000-prefix_25,,,7404030.0,ns,164
string_descending,vendored_std,len_5000-prefix_25,,,7571027.0,ns,168
string_descending,vendored_std,len_5000-prefix_25,,,7782410.0,ns,172
string_descending,vendored_std,len_5000-prefix_25,,,7976420.0,ns,176
string_descending,vendored_std,len_5000-prefix_25,,,8124166.0,ns,180
string_descending,vendored_std,len_5000-prefix_25,,,8316236.0,ns,184
string_descending,vendored_std,len_5000-prefix_25,,,8479626.0,ns,188
string_descending,vendored_std,len_5000-prefix_25,,,8670423.0,ns,192
string_descending,vendored_std,len_5000-prefix_25,,,8838493.0,ns,196
string_descending,vendored_std,len_5000-prefix_25,,,9011284.0,ns,200
string_descending,vendored_std,len_5000-prefix_25,,,9182353.0,ns,204
string_descending,vendored_std,len_5000-prefix_25,,,9362611.0,ns,208
string_descending,vendored_std,len_5000-prefix_25,,,9537211.0,ns,212
string_descending,vendored_std,len_5000-prefix_25,,,9748780.0,ns,216
string_descending,vendored_std,len_5000-prefix_25,,,9921659.0,ns,220
string_descending,vendored_std,len_5000-prefix_25,,,10071968.0,ns,224
string_descending,vendored_std,len_5000-prefix_25,,,10268157.0,ns,228
string_descending,vendored_std,len_5000-prefix_25,,,10465656.0,ns,232
string_descending,vendored_std,len_5000-prefix_25,,,10642766.0,ns,236
string_descending,vendored_std,len_5000-prefix_25,,,10815386.0,ns,240
string_descending,vendored_std,len_5000-prefix_25,,,10997624.0,ns,244
string_descending,vendored_std,len_5000-prefix_25,,,11198953.0,ns,248
string_descending,vendored_std,len_5000-prefix_25,,,11390143.0,ns,252
string_descending,vendored_std,len_5000-prefix_25,,,11547132.0,ns,256
string_descending,vendored_std,len_5000-prefix_25,,,11736482.0,ns,260
string_descending,vendored_std,len_5000-prefix_25,,,11958170.0,ns,264
string_descending,vendored_std,len_5000-prefix_25,,,12098841.0,ns,268
string_descending,vendored_std,len_5000-prefix_25,,,12276969.0,ns,272
string_descending,vendored_std,len_5000-prefix_25,,,12435017.0,ns,276
string_descending,vendored_std,len_5000-prefix_25,,,12630659.0,ns,280
string_descending,vendored_std,len_5000-prefix_25,,,12778420.0,ns,284
string_descending,vendored_std,len_5000-prefix_25,,,12959116.0,ns,288
string_descending,vendored_std,len_5000-prefix_25,,,13208688.0,ns,292
string_descending,vendored_std,len_5000-prefix_25,,,13402587.0,ns,296
string_descending,vendored_std,len_5000-prefix_25,,,13516878.0,ns,300
string_descending,vendored_std,len_5000-prefix_25,,,13744952.0,ns,304
string_descending,vendored_std,len_5000-prefix_25,,,13916892.0,ns,308
string_descending,vendored_std,len_5000-prefix_25,,,14083862.0,ns,312
string_descending,vendored_std,len_5000-prefix_25,,,14260292.0,ns,316
string_descending,vendored_std,len_5000-prefix_25,,,14412810.0,ns,320
string_descending,vendored_std,len_5000-prefix_25,,,14604271.0,ns,324
string_descending,vendored_std,len_5000-prefix_25,,,14800988.0,ns,328
string_descending,vendored_std,len_5000-prefix_25,,,14983478.0,ns,332
string_descending,vendored_std,len_5000-prefix_25,,,16421482.0,ns,336
string_descending,vendored_std,len_5000-prefix_25,,,15401569.0,ns,340
string_descending,vendored_std,len_5000-prefix_25,,,15391945.0,ns,344
string_descending,vendored_std,len_5000-prefix_25,,,16199713.0,ns,348
string_descending,vendored_std,len_5000-prefix_25,,,15821883.0,ns,352
string_descending,vendored_std,len_5000-prefix_25,,,15904925.0,ns,356
string_descending,vendored_std,len_5000-prefix_25,,,16099225.0,ns,360
string_descending,vendored_std,len_5000-prefix_25,,,16210312.0,ns,364
string_descending,vendored_std,len_5000-prefix_25,,,16467601.0,ns,368
string_descending,vendored_std,len_5000-prefix_25,,,16650081.0,ns,372
string_descending,vendored_std,len_5000-prefix_25,,,16941299.0,ns,376
string_descending,vendored_std,len_5000-prefix_25,,,17063059.0,ns,380
string_descending,vendored_std,len_5000-prefix_25,,,18259204.0,ns,384
string_descending,vendored_std,len_5000-prefix_25,,,17868555.0,ns,388
string_descending,vendored_std,len_5000-prefix_25,,,18009068.0,ns,392
string_descending,vendored_std,len_5000-prefix_25,,,19463282.0,ns,396
string_descending,vendored_std,len_5000-prefix_25,,,18398407.0,ns,400
