group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_random,partial_sort_1_0_0,len_100-prefix_17,,,205157.0,ns,127
string_random,partial_sort_1_0_0,len_100-prefix_17,,,409530.0,ns,254
string_random,partial_sort_1_0_0,len_100-prefix_17,,,771278.0,ns,381
string_random,partial_sort_1_0_0,len_100-prefix_17,,,844616.0,ns,508
string_random,partial_sort_1_0_0,len_100-prefix_17,,,1052914.0,ns,635
string_random,partial_sort_1_0_0,len_100-prefix_17,,,1260660.0,ns,762
string_random,partial_sort_1_0_0,len_100-prefix_17,,,1477455.0,ns,889
string_random,partial_sort_1_0_0,len_100-prefix_17,,,1647923.0,ns,1016
string_random,partial_sort_1_0_0,len_100-prefix_17,,,1853942.0,ns,1143
string_random,partial_sort_1_0_0,len_100-prefix_17,,,2061513.0,ns,1270
string_random,partial_sort_1_0_0,len_100-prefix_17,,,2315330.0,ns,1397
string_random,partial_sort_1_0_0,len_100-prefix_17,,,2458209.0,ns,1524
string_random,partial_sort_1_0_0,len_100-prefix_17,,,2714260.0,ns,1651
string_random,partial_sort_1_0_0,len_100-prefix_17,,,2862505.0,ns,1778
string_random,partial_sort_1_0_0,len_100-prefix_17,,,3067847.0,ns,1905
string_random,partial_sort_1_0_0,len_100-prefix_17,,,3279416.0,ns,2032
string_random,partial_sort_1_0_0,len_100-prefix_17,,,3468686.0,ns,2159
string_random,partial_sort_1_0_0,len_100-prefix_17,,,3794805.0,ns,2286
string_random,partial_sort_1_0_0,len_100-prefix_17,,,3895743.0,ns,2413
string_random,partial_sort_1_0_0,len_100-prefix_17,,,4110330.0,ns,2540
string_random,partial_sort_1_0_0,len_100-prefix_17,,,4303102.0,ns,2667
string_random,partial_sort_1_0_0,len_100-prefix_17,,,4513121.0,ns,2794
string_random,partial_sort_1_0_0,len_100-prefix_17,,,4745641.0,ns,2921
string_random,partial_sort_1_0_0,len_100-prefix_17,,,4917640.0,ns,3048
string_random,partial_sort_1_0_0,len_100-prefix_17,,,5138219.0,ns,3175
string_random,partial_sort_1_0_0,len_100-prefix_17,,,5356417.0,ns,3302
string_random,partial_sort_1_0_0,len_100-prefix_17,,,5543387.0,ns,3429
string_random,partial_sort_1_0_0,len_100-prefix_17,,,5768295.0,ns,3556
string_random,partial_sort_1_0_0,len_100-prefix_17,,,5977765.0,ns,3683
string_random,partial_sort_1_0_0,len_100-prefix_17,,,6189704.0,ns,3810
string_random,partial_sort_1_0_0,len_100-prefix_17,,,6422401.0,ns,3937
string_random,partial_sort_1_0_0,len_100-prefix_17,,,6603572.0,ns,4064
string_random,partial_sort_1_0_0,len_100-prefix_17,,,6818951.0,ns,4191
string_random,partial_sort_1_0_0,len_100-prefix_17,,,7008760.0,ns,4318
string_random,partial_sort_1_0_0,len_100-prefix_17,,,7241520.0,ns,4445
string_random,partial_sort_1_0_0,len_100-prefix_17,,,7420150.0,ns,4572
string_random,partial_sort_1_0_0,len_100-prefix_17,,,7642900.0,ns,4699
string_random,partial_sort_1_0_0,len_100-prefix_17,,,7851396.0,ns,4826
string_random,partial_sort_1_0_0,len_100-prefix_17,,,8030678.0,ns,4953
string_random,partial_sort_1_0_0,len_100-prefix_17,,,8222908.0,ns,5080
string_random,partial_sort_1_0_0,len_100-prefix_17,,,8796824.0,ns,5207
string_random,partial_sort_1_0_0,len_100-prefix_17,,,8634444.0,ns,5334
string_random,partial_sort_1_0_0,len_100-prefix_17,,,8806165.0,ns,5461
string_random,partial_sort_1_0_0,len_100-prefix_17,,,9011052.0,ns,5588
string_random,partial_sort_1_0_0,len_100-prefix_17,,,9228750.0,ns,5715
string_random,partial_sort_1_0_0,len_100-prefix_17,,,9421521.0,ns,5842
string_random,partial_sort_1_0_0,len_100-prefix_17,,,9659810.0,ns,5969
string_random,partial_sort_1_0_0,len_100-prefix_17,,,9887550.0,ns,6096
string_random,partial_sort_1_0_0,len_100-prefix_17,,,10053639.0,ns,6223
string_random,partial_sort_1_0_0,len_100-prefix_17,,,10269230.0,ns,6350
string_random,partial_sort_1_0_0,len_100-prefix_17,,,10487016.0,ns,6477
string_random,partial_sort_1_0_0,len_100-prefix_17,,,10643886.0,ns,6604
string_random,partial_sort_1_0_0,len_100-prefix_17,,,10872940.0,ns,6731
string_random,partial_sort_1_0_0,len_100-prefix_17,,,11109656.0,ns,6858
string_random,partial_sort_1_0_0,len_100-prefix_17,,,11312412.0,ns,6985
string_random,partial_sort_1_0_0,len_100-prefix_17,,,11539402.0,ns,7112
string_random,partial_sort_1_0_0,len_100-prefix_17,,,11696962.0,ns,7239
string_random,partial_sort_1_0_0,len_100-prefix_17,,,11964570.0,ns,7366
string_random,partial_sort_1_0_0,len_100-prefix_17,,,12148559.0,ns,7493
string_random,partial_sort_1_0_0,len_100-prefix_17,,,12327769.0,ns,7620
string_random,partial_sort_1_0_0,len_100-prefix_17,,,12507498.0,ns,7747
string_random,partial_sort_1_0_0,len_100-prefix_17,,,12725079.0,ns,7874
string_random,partial_sort_1_0_0,len_100-prefix_17,,,12917446.0,ns,8001
string_random,partial_sort_1_0_0,len_100-prefix_17,,,13130196.0,ns,8128
string_random,partial_sort_1_0_0,len_100-prefix_17,,,13377256.0,ns,8255
string_random,partial_sort_1_0_0,len_100-prefix_17,,,13617013.0,ns,8382
string_random,partial_sort_1_0_0,len_100-prefix_17,,,13825933.0,ns,8509
string_random,partial_sort_1_0_0,len_100-prefix_17,,,14024341.0,ns,8636
string_random,partial_sort_1_0_0,len_100-prefix_17,,,14225991.0,ns,8763
string_random,partial_sort_1_0_0,len_100-prefix_17,,,14460591.0,ns,8890
string_random,partial_sort_1_0_0,len_100-prefix_17,,,14678958.0,ns,9017
string_random,partial_sort_1_0_0,len_100-prefix_17,,,14845139.0,ns,9144
string_random,partial_sort_1_0_0,len_100-prefix_17,,,15105948.0,ns,9271
string_random,partial_sort_1_0_0,len_100-prefix_17,,,15258786.0,ns,9398
string_random,partial_sort_1_0_0,len_100-prefix_17,,,15455155.0,ns,9525
string_random,partial_sort_1_0_0,len_100-prefix_17,,,15708276.0,ns,9652
string_random,partial_sort_1_0_0,len_100-prefix_17,,,15866076.0,ns,9779
string_random,partial_sort_1_0_0,len_100-prefix_17,,,16124142.0,ns,9906
string_random,partial_sort_1_0_0,len_100-prefix_17,,,16315762.0,ns,10033
string_random,partial_sort_1_0_0,len_100-prefix_17,,,16520141.0,ns,10160
string_random,partial_sort_1_0_0,len_100-prefix_17,,,16676153.0,ns,10287
string_random,partial_sort_1_0_0,len_100-prefix_17,,,16953490.0,ns,10414
string_random,partial_sort_1_0_0,len_100-prefix_17,,,17121090.0,ns,10541
string_random,partial_sort_1_0_0,len_100-prefix_17,,,17397380.0,ns,10668
string_random,partial_sort_1_0_0,len_100-prefix_17,,,17564897.0,ns,10795
string_random,partial_sort_1_0_0,len_100-prefix_17,,,17814685.0,ns,10922
string_random,partial_sort_1_0_0,len_100-prefix_17,,,18004893.0,ns,11049
string_random,partial_sort_1_0_0,len_100-prefix_17,,,18207294.0,ns,11176
string_random,partial_sort_1_0_0,len_100-prefix_17,,,19385741.0,ns,11303
string_random,partial_sort_1_0_0,len_100-prefix_17,,,18587221.0,ns,11430
string_random,partial_sort_1_0_0,len_100-prefix_17,,,18940861.0,ns,11557
string_random,partial_sort_1_0_0,len_100-prefix_17,,,19111341.0,ns,11684
string_random,partial_sort_1_0_0,len_100-prefix_17,,,19249020.0,ns,11811
