group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_random,select_nth,len_3000-prefix_50,,,248419.0,ns,5
string_random,select_nth,len_3000-prefix_50,,,493688.0,ns,10
string_random,select_nth,len_3000-prefix_50,,,748875.0,ns,15
string_random,select_nth,len_3000-prefix_50,,,998675.0,ns,20
string_random,select_nth,len_3000-prefix_50,,,1256096.0,ns,25
string_random,select_nth,len_3000-prefix_50,,,1492285.0,ns,30
string_random,select_nth,len_3000-prefix_50,,,1751769.0,ns,35
string_random,select_nth,len_3000-prefix_50,,,2000610.0,ns,40
string_random,select_nth,len_3000-prefix_50,,,2251321.0,ns,45
string_random,select_nth,len_3000-prefix_50,,,2519510.0,ns,50
string_random,select_nth,len_3000-prefix_50,,,2769950.0,ns,55
string_random,select_nth,len_3000-prefix_50,,,3012815.0,ns,60
string_random,select_nth,len_3000-prefix_50,,,3266907.0,ns,65
string_random,select_nth,len_3000-prefix_50,,,3532056.0,ns,70
string_random,select_nth,len_3000-prefix_50,,,3792931.0,ns,75
string_random,select_nth,len_3000-prefix_50,,,4062190.0,ns,80
string_random,select_nth,len_3000-prefix_50,,,4315713.0,ns,85
string_random,select_nth,len_3000-prefix_50,,,4571471.0,ns,90
string_random,select_nth,len_3000-prefix_50,,,4813191.0,ns,95
string_random,select_nth,len_3000-prefix_50,,,5058839.0,ns,100
string_random,select_nth,len_3000-prefix_50,,,5323188.0,ns,105
string_random,select_nth,len_3000-prefix_50,,,5591327.0,ns,110
string_random,select_nth,len_3000-prefix_50,,,5795544.0,ns,115
string_random,select_nth,len_3000-prefix_50,,,6037213.0,ns,120
string_random,select_nth,len_3000-prefix_50,,,6296895.0,ns,125
string_random,select_nth,len_3000-prefix_50,,,6557592.0,ns,130
string_random,select_nth,len_3000-prefix_50,,,6775703.0,ns,135
string_random,select_nth,len_3000-prefix_50,,,7054621.0,ns,140
string_random,select_nth,len_3000-prefix_50,,,7647707.0,ns,145
string_random,select_nth,len_3000-prefix_50,,,7671198.0,ns,150
string_random,select_nth,len_3000-prefix_50,,,7823287.0,ns,155
string_random,select_nth,len_3000-prefix_50,,,8112247.0,ns,160
string_random,select_nth,len_3000-prefix_50,,,8343486.0,ns,165
string_random,select_nth,len_3000-prefix_50,,,8578276.0,ns,170
string_random,select_nth,len_3000-prefix_50,,,8842764.0,ns,175
string_random,select_nth,len_3000-prefix_50,,,9085762.0,ns,180
string_random,select_nth,len_3000-prefix_50,,,9309381.0,ns,185
string_random,select_nth,len_3000-prefix_50,,,9707850.0,ns,190
string_random,select_nth,len_3000-prefix_50,,,9880149.0,ns,195
string_random,select_nth,len_3000-prefix_50,,,10111108.0,ns,200
string_random,select_nth,len_3000-prefix_50,,,10390308.0,ns,205
string_random,select_nth,len_3000-prefix_50,,,10619767.0,ns,210
string_random,select_nth,len_3000-prefix_50,,,10843895.0,ns,215
string_random,select_nth,len_3000-prefix_50,,,11221823.0,ns,220
string_random,select_nth,len_3000-prefix_50,,,11358233.0,ns,225
string_random,select_nth,len_3000-prefix_50,,,11618752.0,ns,230
string_random,select_nth,len_3000-prefix_50,,,12158369.0,ns,235
