group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_random,vendored_std,len_200-prefix_90,,,283300.0,ns,59
string_random,vendored_std,len_200-prefix_90,,,561450.0,ns,118
string_random,vendored_std,len_200-prefix_90,,,843410.0,ns,177
string_random,vendored_std,len_200-prefix_90,,,1130176.0,ns,236
string_random,vendored_std,len_200-prefix_90,,,1415984.0,ns,295
string_random,vendored_std,len_200-prefix_90,,,1701127.0,ns,354
string_random,vendored_std,len_200-prefix_90,,,1993141.0,ns,413
string_random,vendored_std,len_200-prefix_90,,,2266082.0,ns,472
string_random,vendored_std,len_200-prefix_90,,,2541619.0,ns,531
string_random,vendored_std,len_200-prefix_90,,,2830297.0,ns,590
string_random,vendored_std,len_200-prefix_90,,,3106697.0,ns,649
string_random,vendored_std,len_200-prefix_90,,,3382558.0,ns,708
string_random,vendored_std,len_200-prefix_90,,,3681474.0,ns,767
string_random,vendored_std,len_200-prefix_90,,,3983084.0,ns,826
string_random,vendored_std,len_200-prefix_90,,,4263463.0,ns,885
string_random,vendored_std,len_200-prefix_90,,,4565902.0,ns,944
string_random,vendored_std,len_200-prefix_90,,,4865300.0,ns,1003
string_random,vendored_std,len_200-prefix_90,,,5140759.0,ns,1062
string_random,vendored_std,len_200-prefix_90,,,5412566.0,ns,1121
string_random,vendored_std,len_200-prefix_90,,,5689287.0,ns,1180
string_random,vendored_std,len_200-prefix_90,,,5956835.0,ns,1239
string_random,vendored_std,len_200-prefix_90,,,6262264.0,ns,1298
string_random,vendored_std,len_200-prefix_90,,,6547914.0,ns,1357
string_random,vendored_std,len_200-prefix_90,,,6814833.0,ns,1416
string_random,vendored_std,len_200-prefix_90,,,7113802.0,ns,1475
string_random,vendored_std,len_200-prefix_90,,,7407919.0,ns,1534
string_random,vendored_std,len_200-prefix_90,,,7695798.0,ns,1593
string_random,vendored_std,len_200-prefix_90,,,7977708.0,ns,1652
string_random,vendored_std,len_200-prefix_90,,,8271336.0,ns,1711
string_random,vendored_std,len_200-prefix_90,,,8543713.0,ns,1770
string_random,vendored_std,len_200-prefix_90,,,8828082.0,ns,1829
string_random,vendored_std,len_200-prefix_90,,,9108503.0,ns,1888
string_random,vendored_std,len_200-prefix_90,,,9411190.0,ns,1947
string_random,vendored_std,len_200-prefix_90,,,9700100.0,ns,2006
string_random,vendored_std,len_200-prefix_90,,,9949608.0,ns,2065
string_random,vendored_std,len_200-prefix_90,,,10252316.0,ns,2124
string_random,vendored_std,len_200-prefix_90,,,10544366.0,ns,2183
string_random,vendored_std,len_200-prefix_90,,,10799326.0,ns,2242
string_random,vendored_std,len_200-prefix_90,,,11089254.0,ns,2301
string_random,vendored_std,len_200-prefix_90,,,11371260.0,ns,2360
string_random,vendored_std,len_200-prefix_90,,,11637412.0,ns,2419
string_random,vendored_std,len_200-prefix_90,,,11938131.0,ns,2478
string_random,vendored_std,len_200-prefix_90,,,12224459.0,ns,2537
string_random,vendored_std,len_200-prefix_90,,,12515968.0,ns,2596
string_random,vendored_std,len_200-prefix_90,,,12787468.0,ns,2655
string_random,vendored_std,len_200-prefix_90,,,13094466.0,ns,2714
string_random,vendored_std,len_200-prefix_90,,,13363625.0,ns,2773
string_random,vendored_std,len_200-prefix_90,,,13645323.0,ns,2832
string_random,vendored_std,len_200-prefix_90,,,13904702.0,ns,2891
string_random,vendored_std,len_200-prefix_90,,,14178412.0,ns,2950
string_random,vendored_std,len_200-prefix_90,,,14462180.0,ns,3009
string_random,vendored_std,len_200-prefix_90,,,14737639.0,ns,3068
string_random,vendored_std,len_200-prefix_90,,,15013668.0,ns,3127
string_random,vendored_std,len_200-prefix_90,,,15279516.0,ns,3186
string_random,vendored_std,len_200-prefix_90,,,15541935.0,ns,3245
string_random,vendored_std,len_200-prefix_90,,,15844975.0,ns,3304
