group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,152480.0,ns,2331
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,305138.0,ns,4662
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,464759.0,ns,6993
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,620698.0,ns,9324
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,793936.0,ns,11655
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,951645.0,ns,13986
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,1114741.0,ns,16317
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,1274644.0,ns,18648
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,1431544.0,ns,20979
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,1575464.0,ns,23310
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,1725712.0,ns,25641
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,1875843.0,ns,27972
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,2036611.0,ns,30303
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,2181641.0,ns,32634
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,2331140.0,ns,34965
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,2488390.0,ns,37296
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,2630359.0,ns,39627
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,2778349.0,ns,41958
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,2926778.0,ns,44289
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,3075594.0,ns,46620
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,3216126.0,ns,48951
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,3372696.0,ns,51282
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,3521235.0,ns,53613
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,3674365.0,ns,55944
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,3817965.0,ns,58275
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,3960466.0,ns,60606
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,4109242.0,ns,62937
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,4260880.0,ns,65268
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,4411761.0,ns,67599
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,4549821.0,ns,69930
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,4685081.0,ns,72261
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,4846530.0,ns,74592
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,4997119.0,ns,76923
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,5135840.0,ns,79254
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,5300468.0,ns,81585
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,5444931.0,ns,83916
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,5585308.0,ns,86247
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,5722065.0,ns,88578
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,5861796.0,ns,90909
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,6022855.0,ns,93240
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,6175773.0,ns,95571
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,6302222.0,ns,97902
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,6439033.0,ns,100233
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,6615817.0,ns,102564
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,6765981.0,ns,104895
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,6916202.0,ns,107226
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,7048070.0,ns,109557
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,7206930.0,ns,111888
string_random_d20,partial_sort_1_0_0,len_5-prefix_100,,,7351600.0,ns,114219
