group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_random_d20,select_nth,len_18-prefix_12,,,126410.0,ns,710
string_random_d20,select_nth,len_18-prefix_12,,,243378.0,ns,1420
string_random_d20,select_nth,len_18-prefix_12,,,364579.0,ns,2130
string_random_d20,select_nth,len_18-prefix_12,,,485579.0,ns,2840
string_random_d20,select_nth,len_18-prefix_12,,,604918.0,ns,3550
string_random_d20,select_nth,len_18-prefix_12,,,720397.0,ns,4260
string_random_d20,select_nth,len_18-prefix_12,,,836537.0,ns,4970
string_random_d20,select_nth,len_18-prefix_12,,,954960.0,ns,5680
string_random_d20,select_nth,len_18-prefix_12,,,1091566.0,ns,6390
string_random_d20,select_nth,len_18-prefix_12,,,1225024.0,ns,7100
string_random_d20,select_nth,len_18-prefix_12,,,1330774.0,ns,7810
string_random_d20,select_nth,len_18-prefix_12,,,1468543.0,ns,8520
string_random_d20,select_nth,len_18-prefix_12,,,1575514.0,ns,9230
string_random_d20,select_nth,len_18-prefix_12,,,1702513.0,ns,9940
string_random_d20,select_nth,len_18-prefix_12,,,1830392.0,ns,10650
string_random_d20,select_nth,len_18-prefix_12,,,1962580.0,ns,11360
string_random_d20,select_nth,len_18-prefix_12,,,2063592.0,ns,12070
string_random_d20,select_nth,len_18-prefix_12,,,2172061.0,ns,12780
string_random_d20,select_nth,len_18-prefix_12,,,2286691.0,ns,13490
string_random_d20,select_nth,len_18-prefix_12,,,2426950.0,ns,14200
string_random_d20,select_nth,len_18-prefix_12,,,2532410.0,ns,14910
string_random_d20,select_nth,len_18-prefix_12,,,2647179.0,ns,15620
string_random_d20,select_nth,len_18-prefix_12,,,2767640.0,ns,16330
string_random_d20,select_nth,len_18-prefix_12,,,2878728.0,ns,17040
string_random_d20,select_nth,len_18-prefix_12,,,3002609.0,ns,17750
string_random_d20,select_nth,len_18-prefix_12,,,3125538.0,ns,18460
string_random_d20,select_nth,len_18-prefix_12,,,3227706.0,ns,19170
string_random_d20,select_nth,len_18-prefix_12,,,3380447.0,ns,19880
string_random_d20,select_nth,len_18-prefix_12,,,3470345.0,ns,20590
string_random_d20,select_nth,len_18-prefix_12,,,3592836.0,ns,21300
string_random_d20,select_nth,len_18-prefix_12,,,3710375.0,ns,22010
string_random_d20,select_nth,len_18-prefix_12,,,3850263.0,ns,22720
string_random_d20,select_nth,len_18-prefix_12,,,4010923.0,ns,23430
string_random_d20,select_nth,len_18-prefix_12,,,4140700.0,ns,24140
string_random_d20,select_nth,len_18-prefix_12,,,4226034.0,ns,24850
string_random_d20,select_nth,len_18-prefix_12,,,4319102.0,ns,25560
string_random_d20,select_nth,len_18-prefix_12,,,4437401.0,ns,26270
string_random_d20,select_nth,len_18-prefix_12,,,4567800.0,ns,26980
string_random_d20,select_nth,len_18-prefix_12,,,4661402.0,ns,27690
string_random_d20,select_nth,len_18-prefix_12,,,4726911.0,ns,28400
string_random_d20,select_nth,len_18-prefix_12,,,4796580.0,ns,29110
string_random_d20,select_nth,len_18-prefix_12,,,4935639.0,ns,29820
string_random_d20,select_nth,len_18-prefix_12,,,5006959.0,ns,30530
string_random_d20,select_nth,len_18-prefix_12,,,5115328.0,ns,31240
string_random_d20,select_nth,len_18-prefix_12,,,5231307.0,ns,31950
string_random_d20,select_nth,len_18-prefix_12,,,5346568.0,ns,32660
string_random_d20,select_nth,len_18-prefix_12,,,5466026.0,ns,33370
string_random_d20,select_nth,len_18-prefix_12,,,5605247.0,ns,34080
string_random_d20,select_nth,len_18-prefix_12,,,5999085.0,ns,34790
string_random_d20,select_nth,len_18-prefix_12,,,5890856.0,ns,35500
string_random_d20,select_nth,len_18-prefix_12,,,6032095.0,ns,36210
string_random_d20,select_nth,len_18-prefix_12,,,6171433.0,ns,36920
string_random_d20,select_nth,len_18-prefix_12,,,6266353.0,ns,37630
string_random_d20,select_nth,len_18-prefix_12,,,6372364.0,ns,38340
string_random_d20,select_nth,len_18-prefix_12,,,6515234.0,ns,39050
string_random_d20,select_nth,len_18-prefix_12,,,6592853.0,ns,39760
string_random_d20,select_nth,len_18-prefix_12,,,6675472.0,ns,40470
string_random_d20,select_nth,len_18-prefix_12,,,6860633.0,ns,41180
string_random_d20,select_nth,len_18-prefix_12,,,6987501.0,ns,41890
string_random_d20,select_nth,len_18-prefix_12,,,7140401.0,ns,42600
string_random_d20,select_nth,len_18-prefix_12,,,7295610.0,ns,43310
string_random_d20,select_nth,len_18-prefix_12,,,7394830.0,ns,44020
string_random_d20,select_nth,len_18-prefix_12,,,7536680.0,ns,44730
string_random_d20,select_nth,len_18-prefix_12,,,7632160.0,ns,45440
string_random_d20,select_nth,len_18-prefix_12,,,7755017.0,ns,46150
string_random_d20,select_nth,len_18-prefix_12,,,7819688.0,ns,46860
string_random_d20,select_nth,len_18-prefix_12,,,7952357.0,ns,47570
string_random_d20,select_nth,len_18-prefix_12,,,8081030.0,ns,48280
string_random_d20,select_nth,len_18-prefix_12,,,8215217.0,ns,48990
string_random_d20,select_nth,len_18-prefix_12,,,8351815.0,ns,49700
string_random_d20,select_nth,len_18-prefix_12,,,8506835.0,ns,50410
string_random_d20,select_nth,len_18-prefix_12,,,8568665.0,ns,51120
string_random_d20,select_nth,len_18-prefix_12,,,8697583.0,ns,51830
string_random_d20,select_nth,len_18-prefix_12,,,8811223.0,ns,52540
string_random_d20,select_nth,len_18-prefix_12,,,8936083.0,ns,53250
string_random_d20,select_nth,len_18-prefix_12,,,9168853.0,ns,53960
string_random_d20,select_nth,len_18-prefix_12,,,9193982.0,ns,54670
string_random_d20,select_nth,len_18-prefix_12,,,9336171.0,ns,55380
string_random_d20,select_nth,len_18-prefix_12,,,9427420.0,ns,56090
string_random_d20,select_nth,len_18-prefix_12,,,9500880.0,ns,56800
string_random_d20,select_nth,len_18-prefix_12,,,9664631.0,ns,57510
string_random_d20,select_nth,len_18-prefix_12,,,9777149.0,ns,58220
string_random_d20,select_nth,len_18-prefix_12,,,9896179.0,ns,58930
string_random_d20,select_nth,len_18-prefix_12,,,9997080.0,ns,59640
string_random_d20,select_nth,len_18-prefix_12,,,10113010.0,ns,60350
string_random_d20,select_nth,len_18-prefix_12,,,10190260.0,ns,61060
string_random_d20,select_nth,len_18-prefix_12,,,10376935.0,ns,61770
string_random_d20,select_nth,len_18-prefix_12,,,10431877.0,ns,62480
string_random_d20,select_nth,len_18-prefix_12,,,10577655.0,ns,63190
string_random_d20,select_nth,len_18-prefix_12,,,10692417.0,ns,63900
string_random_d20,select_nth,len_18-prefix_12,,,10811795.0,ns,64610
string_random_d20,select_nth,len_18-prefix_12,,,11030448.0,ns,65320
string_random_d20,select_nth,len_18-prefix_12,,,11159894.0,ns,66030
string_random_d20,select_nth,len_18-prefix_12,,,11337104.0,ns,66740
string_random_d20,select_nth,len_18-prefix_12,,,11512623.0,ns,67450
string_random_d20,select_nth,len_18-prefix_12,,,11583324.0,ns,68160
string_random_d20,select_nth,len_18-prefix_12,,,11723070.0,ns,68870
string_random_d20,select_nth,len_18-prefix_12,,,11993340.0,ns,69580
string_random_d20,select_nth,len_18-prefix_12,,,12571588.0,ns,70290
string_random_d20,select_nth,len_18-prefix_12,,,13032706.0,ns,71000
