group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_random_d20,vendored_std,len_10-prefix_80,,,165589.0,ns,1205
string_random_d20,vendored_std,len_10-prefix_80,,,325379.0,ns,2410
string_random_d20,vendored_std,len_10-prefix_80,,,494249.0,ns,3615
string_random_d20,vendored_std,len_10-prefix_80,,,661317.0,ns,4820
string_random_d20,vendored_std,len_10-prefix_80,,,826989.0,ns,6025
string_random_d20,vendored_std,len_10-prefix_80,,,994916.0,ns,7230
string_random_d20,vendored_std,len_10-prefix_80,,,1147156.0,ns,8435
string_random_d20,vendored_std,len_10-prefix_80,,,1308992.0,ns,9640
string_random_d20,vendored_std,len_10-prefix_80,,,1465505.0,ns,10845
string_random_d20,vendored_std,len_10-prefix_80,,,1629564.0,ns,12050
string_random_d20,vendored_std,len_10-prefix_80,,,1796362.0,ns,13255
string_random_d20,vendored_std,len_10-prefix_80,,,1955182.0,ns,14460
string_random_d20,vendored_std,len_10-prefix_80,,,2114982.0,ns,15665
string_random_d20,vendored_std,len_10-prefix_80,,,2272961.0,ns,16870
string_random_d20,vendored_std,len_10-prefix_80,,,2439400.0,ns,18075
string_random_d20,vendored_std,len_10-prefix_80,,,2604050.0,ns,19280
string_random_d20,vendored_std,len_10-prefix_80,,,2760448.0,ns,20485
string_random_d20,vendored_std,len_10-prefix_80,,,2916378.0,ns,21690
string_random_d20,vendored_std,len_10-prefix_80,,,3071537.0,ns,22895
string_random_d20,vendored_std,len_10-prefix_80,,,3229176.0,ns,24100
string_random_d20,vendored_std,len_10-prefix_80,,,3385836.0,ns,25305
string_random_d20,vendored_std,len_10-prefix_80,,,3545525.0,ns,26510
string_random_d20,vendored_std,len_10-prefix_80,,,3713466.0,ns,27715
string_random_d20,vendored_std,len_10-prefix_80,,,3866650.0,ns,28920
string_random_d20,vendored_std,len_10-prefix_80,,,4023984.0,ns,30125
string_random_d20,vendored_std,len_10-prefix_80,,,4173813.0,ns,31330
string_random_d20,vendored_std,len_10-prefix_80,,,4334892.0,ns,32535
string_random_d20,vendored_std,len_10-prefix_80,,,4491731.0,ns,33740
string_random_d20,vendored_std,len_10-prefix_80,,,4647942.0,ns,34945
string_random_d20,vendored_std,len_10-prefix_80,,,4812700.0,ns,36150
string_random_d20,vendored_std,len_10-prefix_80,,,4962508.0,ns,37355
string_random_d20,vendored_std,len_10-prefix_80,,,5118887.0,ns,38560
string_random_d20,vendored_std,len_10-prefix_80,,,5278747.0,ns,39765
string_random_d20,vendored_std,len_10-prefix_80,,,5442269.0,ns,40970
string_random_d20,vendored_std,len_10-prefix_80,,,5602398.0,ns,42175
string_random_d20,vendored_std,len_10-prefix_80,,,5752206.0,ns,43380
string_random_d20,vendored_std,len_10-prefix_80,,,5908335.0,ns,44585
string_random_d20,vendored_std,len_10-prefix_80,,,6068156.0,ns,45790
string_random_d20,vendored_std,len_10-prefix_80,,,6231814.0,ns,46995
string_random_d20,vendored_std,len_10-prefix_80,,,6377174.0,ns,48200
string_random_d20,vendored_std,len_10-prefix_80,,,6552143.0,ns,49405
string_random_d20,vendored_std,len_10-prefix_80,,,6720372.0,ns,50610
string_random_d20,vendored_std,len_10-prefix_80,,,6864822.0,ns,51815
string_random_d20,vendored_std,len_10-prefix_80,,,7042771.0,ns,53020
string_random_d20,vendored_std,len_10-prefix_80,,,7189130.0,ns,54225
string_random_d20,vendored_std,len_10-prefix_80,,,7356349.0,ns,55430
string_random_d20,vendored_std,len_10-prefix_80,,,7513638.0,ns,56635
string_random_d20,vendored_std,len_10-prefix_80,,,7646529.0,ns,57840
string_random_d20,vendored_std,len_10-prefix_80,,,7771368.0,ns,59045
string_random_d20,vendored_std,len_10-prefix_80,,,7951606.0,ns,60250
string_random_d20,vendored_std,len_10-prefix_80,,,8048728.0,ns,61455
string_random_d20,vendored_std,len_10-prefix_80,,,8242167.0,ns,62660
string_random_d20,vendored_std,len_10-prefix_80,,,8364815.0,ns,63865
string_random_d20,vendored_std,len_10-prefix_80,,,8522086.0,ns,65070
string_random_d20,vendored_std,len_10-prefix_80,,,8680234.0,ns,66275
string_random_d20,vendored_std,len_10-prefix_80,,,8825133.0,ns,67480
string_random_d20,vendored_std,len_10-prefix_80,,,8990745.0,ns,68685
string_random_d20,vendored_std,len_10-prefix_80,,,9144903.0,ns,69890
string_random_d20,vendored_std,len_10-prefix_80,,,9311141.0,ns,71095
string_random_d20,vendored_std,len_10-prefix_80,,,9480701.0,ns,72300
string_random_d20,vendored_std,len_10-prefix_80,,,9665420.0,ns,73505
string_random_d20,vendored_std,len_10-prefix_80,,,9856630.0,ns,74710
string_random_d20,vendored_std,len_10-prefix_80,,,10045129.0,ns,75915
string_random_d20,vendored_std,len_10-prefix_80,,,10223225.0,ns,77120
string_random_d20,vendored_std,len_10-prefix_80,,,10408387.0,ns,78325
string_random_d20,vendored_std,len_10-prefix_80,,,10569726.0,ns,79530
string_random_d20,vendored_std,len_10-prefix_80,,,10722725.0,ns,80735
string_random_d20,vendored_std,len_10-prefix_80,,,10881765.0,ns,81940
string_random_d20,vendored_std,len_10-prefix_80,,,11053510.0,ns,83145
string_random_d20,vendored_std,len_10-prefix_80,,,11180975.0,ns,84350
string_random_d20,vendored_std,len_10-prefix_80,,,11364875.0,ns,85555
string_random_d20,vendored_std,len_10-prefix_80,,,12993257.0,ns,86760
string_random_d20,vendored_std,len_10-prefix_80,,,11743491.0,ns,87965
string_random_d20,vendored_std,len_10-prefix_80,,,11925900.0,ns,89170
string_random_d20,vendored_std,len_10-prefix_80,,,12108260.0,ns,90375
string_random_d20,vendored_std,len_10-prefix_80,,,12270649.0,ns,91580
string_random_d20,vendored_std,len_10-prefix_80,,,12454468.0,ns,92785
string_random_d20,vendored_std,len_10-prefix_80,,,12617797.0,ns,93990
string_random_d20,vendored_std,len_10-prefix_80,,,12777203.0,ns,95195
string_random_d20,vendored_std,len_10-prefix_80,,,12914827.0,ns,96400
string_random_d20,vendored_std,len_10-prefix_80,,,13086127.0,ns,97605
string_random_d20,vendored_std,len_10-prefix_80,,,13225466.0,ns,98810
string_random_d20,vendored_std,len_10-prefix_80,,,13382704.0,ns,100015
string_random_d20,vendored_std,len_10-prefix_80,,,13506925.0,ns,101220
string_random_d20,vendored_std,len_10-prefix_80,,,13655834.0,ns,102425
string_random_d20,vendored_std,len_10-prefix_80,,,13860563.0,ns,103630
string_random_d20,vendored_std,len_10-prefix_80,,,13992220.0,ns,104835
string_random_d20,vendored_std,len_10-prefix_80,,,14138882.0,ns,106040
string_random_d20,vendored_std,len_10-prefix_80,,,14322411.0,ns,107245
string_random_d20,vendored_std,len_10-prefix_80,,,14473869.0,ns,108450
string_random_d20,vendored_std,len_10-prefix_80,,,14653020.0,ns,109655
string_random_d20,vendored_std,len_10-prefix_80,,,14791149.0,ns,110860
string_random_d20,vendored_std,len_10-prefix_80,,,14934329.0,ns,112065
string_random_d20,vendored_std,len_10-prefix_80,,,15138838.0,ns,113270
string_random_d20,vendored_std,len_10-prefix_80,,,15240898.0,ns,114475
string_random_d20,vendored_std,len_10-prefix_80,,,15397685.0,ns,115680
string_random_d20,vendored_std,len_10-prefix_80,,,15578066.0,ns,116885
string_random_d20,vendored_std,len_10-prefix_80,,,15765965.0,ns,118090
string_random_d20,vendored_std,len_10-prefix_80,,,15944134.0,ns,119295
string_random_d20,vendored_std,len_10-prefix_80,,,16060927.0,ns,120500
