group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,233690.0,ns,39
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,415848.0,ns,78
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,621635.0,ns,117
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,826496.0,ns,156
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,1040706.0,ns,195
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,1249184.0,ns,234
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,1462444.0,ns,273
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,1668852.0,ns,312
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,1883990.0,ns,351
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,2083801.0,ns,390
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,2294421.0,ns,429
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,2505939.0,ns,468
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,2710000.0,ns,507
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,2931110.0,ns,546
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,3172375.0,ns,585
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,3364856.0,ns,624
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,3560015.0,ns,663
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,3775404.0,ns,702
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,3981983.0,ns,741
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,4205822.0,ns,780
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,4404002.0,ns,819
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,4613341.0,ns,858
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,4814310.0,ns,897
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,5036980.0,ns,936
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,5251379.0,ns,975
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,5445778.0,ns,1014
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,5660727.0,ns,1053
string_random_p5,partial_sort_1_0_0,len_400-prefix_85,,,5868068.0,ns,1092
