group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_random_p5,select_nth,len_2000-prefix_13,,,106879.0,ns,10
string_random_p5,select_nth,len_2000-prefix_13,,,206880.0,ns,20
string_random_p5,select_nth,len_2000-prefix_13,,,305838.0,ns,30
string_random_p5,select_nth,len_2000-prefix_13,,,411880.0,ns,40
string_random_p5,select_nth,len_2000-prefix_13,,,507878.0,ns,50
string_random_p5,select_nth,len_2000-prefix_13,,,616487.0,ns,60
string_random_p5,select_nth,len_2000-prefix_13,,,740029.0,ns,70
string_random_p5,select_nth,len_2000-prefix_13,,,840892.0,ns,80
string_random_p5,select_nth,len_2000-prefix_13,,,944547.0,ns,90
string_random_p5,select_nth,len_2000-prefix_13,,,1050866.0,ns,100
string_random_p5,select_nth,len_2000-prefix_13,,,1160285.0,ns,110
string_random_p5,select_nth,len_2000-prefix_13,,,1266505.0,ns,120
string_random_p5,select_nth,len_2000-prefix_13,,,1374534.0,ns,130
string_random_p5,select_nth,len_2000-prefix_13,,,1480775.0,ns,140
string_random_p5,select_nth,len_2000-prefix_13,,,1588654.0,ns,150
string_random_p5,select_nth,len_2000-prefix_13,,,1697120.0,ns,160
string_random_p5,select_nth,len_2000-prefix_13,,,1799672.0,ns,170
string_random_p5,select_nth,len_2000-prefix_13,,,1913353.0,ns,180
string_random_p5,select_nth,len_2000-prefix_13,,,2019141.0,ns,190
string_random_p5,select_nth,len_2000-prefix_13,,,2121612.0,ns,200
string_random_p5,select_nth,len_2000-prefix_13,,,2232291.0,ns,210
string_random_p5,select_nth,len_2000-prefix_13,,,2329660.0,ns,220
string_random_p5,select_nth,len_2000-prefix_13,,,2452570.0,ns,230
string_random_p5,select_nth,len_2000-prefix_13,,,2548719.0,ns,240
string_random_p5,select_nth,len_2000-prefix_13,,,2647360.0,ns,250
string_random_p5,select_nth,len_2000-prefix_13,,,2757218.0,ns,260
string_random_p5,select_nth,len_2000-prefix_13,,,2861698.0,ns,270
string_random_p5,select_nth,len_2000-prefix_13,,,2962699.0,ns,280
string_random_p5,select_nth,len_2000-prefix_13,,,3086404.0,ns,290
string_random_p5,select_nth,len_2000-prefix_13,,,3235777.0,ns,300
string_random_p5,select_nth,len_2000-prefix_13,,,3317917.0,ns,310
string_random_p5,select_nth,len_2000-prefix_13,,,3417235.0,ns,320
string_random_p5,select_nth,len_2000-prefix_13,,,3543515.0,ns,330
string_random_p5,select_nth,len_2000-prefix_13,,,3633055.0,ns,340
string_random_p5,select_nth,len_2000-prefix_13,,,3751635.0,ns,350
string_random_p5,select_nth,len_2000-prefix_13,,,3846494.0,ns,360
string_random_p5,select_nth,len_2000-prefix_13,,,3971873.0,ns,370
