group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,227029.0,ns,20
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,431998.0,ns,40
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,648968.0,ns,60
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,865766.0,ns,80
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,1071737.0,ns,100
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,1303454.0,ns,120
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,1523243.0,ns,140
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,1734193.0,ns,160
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,1949001.0,ns,180
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,2189671.0,ns,200
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,2373980.0,ns,220
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,2604309.0,ns,240
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,2818620.0,ns,260
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,3062317.0,ns,280
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,3236655.0,ns,300
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,3478676.0,ns,320
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,3705989.0,ns,340
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,3903604.0,ns,360
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,4113222.0,ns,380
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,4351423.0,ns,400
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,4541151.0,ns,420
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,4780830.0,ns,440
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,4977899.0,ns,460
string_random_z1,partial_sort_1_0_0,len_500-prefix_19,,,5172459.0,ns,480
