group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string_random_z1,select_nth,len_15-prefix_45,,,184340.0,ns,642
string_random_z1,select_nth,len_15-prefix_45,,,314130.0,ns,1284
string_random_z1,select_nth,len_15-prefix_45,,,467859.0,ns,1926
string_random_z1,select_nth,len_15-prefix_45,,,629418.0,ns,2568
string_random_z1,select_nth,len_15-prefix_45,,,780720.0,ns,3210
string_random_z1,select_nth,len_15-prefix_45,,,930086.0,ns,3852
string_random_z1,select_nth,len_15-prefix_45,,,1212786.0,ns,4494
string_random_z1,select_nth,len_15-prefix_45,,,1222445.0,ns,5136
string_random_z1,select_nth,len_15-prefix_45,,,1377115.0,ns,5778
string_random_z1,select_nth,len_15-prefix_45,,,1546413.0,ns,6420
string_random_z1,select_nth,len_15-prefix_45,,,1849943.0,ns,7062
string_random_z1,select_nth,len_15-prefix_45,,,1876452.0,ns,7704
string_random_z1,select_nth,len_15-prefix_45,,,2038091.0,ns,8346
string_random_z1,select_nth,len_15-prefix_45,,,2204870.0,ns,8988
string_random_z1,select_nth,len_15-prefix_45,,,2372060.0,ns,9630
string_random_z1,select_nth,len_15-prefix_45,,,2537120.0,ns,10272
string_random_z1,select_nth,len_15-prefix_45,,,2703159.0,ns,10914
string_random_z1,select_nth,len_15-prefix_45,,,2828978.0,ns,11556
string_random_z1,select_nth,len_15-prefix_45,,,2981000.0,ns,12198
string_random_z1,select_nth,len_15-prefix_45,,,3157246.0,ns,12840
string_random_z1,select_nth,len_15-prefix_45,,,3309447.0,ns,13482
string_random_z1,select_nth,len_15-prefix_45,,,3471316.0,ns,14124
string_random_z1,select_nth,len_15-prefix_45,,,3661715.0,ns,14766
string_random_z1,select_nth,len_15-prefix_45,,,3774485.0,ns,15408
string_random_z1,select_nth,len_15-prefix_45,,,3902494.0,ns,16050
string_random_z1,select_nth,len_15-prefix_45,,,4037724.0,ns,16692
string_random_z1,select_nth,len_15-prefix_45,,,4199252.0,ns,17334
string_random_z1,select_nth,len_15-prefix_45,,,4352650.0,ns,17976
string_random_z1,select_nth,len_15-prefix_45,,,4527970.0,ns,18618
string_random_z1,select_nth,len_15-prefix_45,,,4692111.0,ns,19260
string_random_z1,select_nth,len_15-prefix_45,,,4837930.0,ns,19902
string_random_z1,select_nth,len_15-prefix_45,,,4968970.0,ns,20544
string_random_z1,select_nth,len_15-prefix_45,,,5121870.0,ns,21186
string_random_z1,select_nth,len_15-prefix_45,,,5264808.0,ns,21828
string_random_z1,select_nth,len_15-prefix_45,,,5427648.0,ns,22470
string_random_z1,select_nth,len_15-prefix_45,,,5584582.0,ns,23112
string_random_z1,select_nth,len_15-prefix_45,,,5741298.0,ns,23754
string_random_z1,select_nth,len_15-prefix_45,,,5873615.0,ns,24396
string_random_z1,select_nth,len_15-prefix_45,,,6076066.0,ns,25038
string_random_z1,select_nth,len_15-prefix_45,,,6195246.0,ns,25680
string_random_z1,select_nth,len_15-prefix_45,,,6352231.0,ns,26322
string_random_z1,select_nth,len_15-prefix_45,,,6498623.0,ns,26964
string_random_z1,select_nth,len_15-prefix_45,,,6627333.0,ns,27606
string_random_z1,select_nth,len_15-prefix_45,,,6849681.0,ns,28248
string_random_z1,select_nth,len_15-prefix_45,,,6949352.0,ns,28890
string_random_z1,select_nth,len_15-prefix_45,,,7093582.0,ns,29532
string_random_z1,select_nth,len_15-prefix_45,,,7202320.0,ns,30174
string_random_z1,select_nth,len_15-prefix_45,,,7367769.0,ns,30816
string_random_z1,select_nth,len_15-prefix_45,,,7542810.0,ns,31458
string_random_z1,select_nth,len_15-prefix_45,,,7715549.0,ns,32100
string_random_z1,select_nth,len_15-prefix_45,,,7802347.0,ns,32742
string_random_z1,select_nth,len_15-prefix_45,,,7947147.0,ns,33384
string_random_z1,select_nth,len_15-prefix_45,,,8110056.0,ns,34026
string_random_z1,select_nth,len_15-prefix_45,,,8258008.0,ns,34668
string_random_z1,select_nth,len_15-prefix_45,,,8405556.0,ns,35310
string_random_z1,select_nth,len_15-prefix_45,,,8562424.0,ns,35952
string_random_z1,select_nth,len_15-prefix_45,,,8713055.0,ns,36594
string_random_z1,select_nth,len_15-prefix_45,,,8854705.0,ns,37236
string_random_z1,select_nth,len_15-prefix_45,,,9011801.0,ns,37878
string_random_z1,select_nth,len_15-prefix_45,,,9158172.0,ns,38520
string_random_z1,select_nth,len_15-prefix_45,,,9325141.0,ns,39162
string_random_z1,select_nth,len_15-prefix_45,,,9468180.0,ns,39804
string_random_z1,select_nth,len_15-prefix_45,,,9616370.0,ns,40446
string_random_z1,select_nth,len_15-prefix_45,,,9774248.0,ns,41088
string_random_z1,select_nth,len_15-prefix_45,,,9906578.0,ns,41730
string_random_z1,select_nth,len_15-prefix_45,,,10095209.0,ns,42372
string_random_z1,select_nth,len_15-prefix_45,,,10207800.0,ns,43014
string_random_z1,select_nth,len_15-prefix_45,,,10355398.0,ns,43656
string_random_z1,select_nth,len_15-prefix_45,,,10522935.0,ns,44298
string_random_z1,select_nth,len_15-prefix_45,,,10674284.0,ns,44940
string_random_z1,select_nth,len_15-prefix_45,,,10827734.0,ns,45582
string_random_z1,select_nth,len_15-prefix_45,,,10983870.0,ns,46224
string_random_z1,select_nth,len_15-prefix_45,,,11130585.0,ns,46866
string_random_z1,select_nth,len_15-prefix_45,,,11284946.0,ns,47508
string_random_z1,select_nth,len_15-prefix_45,,,11452013.0,ns,48150
string_random_z1,select_nth,len_15-prefix_45,,,11617121.0,ns,48792
string_random_z1,select_nth,len_15-prefix_45,,,11758886.0,ns,49434
string_random_z1,select_nth,len_15-prefix_45,,,11928020.0,ns,50076
string_random_z1,select_nth,len_15-prefix_45,,,12097620.0,ns,50718
string_random_z1,select_nth,len_15-prefix_45,,,12138410.0,ns,51360
string_random_z1,select_nth,len_15-prefix_45,,,12374659.0,ns,52002
string_random_z1,select_nth,len_15-prefix_45,,,12565048.0,ns,52644
string_random_z1,select_nth,len_15-prefix_45,,,12720976.0,ns,53286
string_random_z1,select_nth,len_15-prefix_45,,,12884287.0,ns,53928
string_random_z1,select_nth,len_15-prefix_45,,,13028885.0,ns,54570
string_random_z1,select_nth,len_15-prefix_45,,,13174436.0,ns,55212
string_random_z1,select_nth,len_15-prefix_45,,,13293560.0,ns,55854
string_random_z1,select_nth,len_15-prefix_45,,,13507723.0,ns,56496
string_random_z1,select_nth,len_15-prefix_45,,,13632674.0,ns,57138
string_random_z1,select_nth,len_15-prefix_45,,,13661529.0,ns,57780
string_random_z1,select_nth,len_15-prefix_45,,,13937664.0,ns,58422
string_random_z1,select_nth,len_15-prefix_45,,,14077662.0,ns,59064
string_random_z1,select_nth,len_15-prefix_45,,,14116211.0,ns,59706
string_random_z1,select_nth,len_15-prefix_45,,,14424841.0,ns,60348
string_random_z1,select_nth,len_15-prefix_45,,,14571990.0,ns,60990
string_random_z1,select_nth,len_15-prefix_45,,,14745467.0,ns,61632
string_random_z1,select_nth,len_15-prefix_45,,,14961480.0,ns,62274
string_random_z1,select_nth,len_15-prefix_45,,,15564207.0,ns,62916
string_random_z1,select_nth,len_15-prefix_45,,,15250130.0,ns,63558
string_random_z1,select_nth,len_15-prefix_45,,,15475076.0,ns,64200
