group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,436548.0,ns,506
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,860306.0,ns,1012
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,1316895.0,ns,1518
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,1750603.0,ns,2024
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,2155900.0,ns,2530
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,2622059.0,ns,3036
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,3089997.0,ns,3542
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,3478295.0,ns,4048
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,3951245.0,ns,4554
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,4342761.0,ns,5060
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,4843930.0,ns,5566
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,5309940.0,ns,6072
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,5702277.0,ns,6578
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,6134363.0,ns,7084
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,6712569.0,ns,7590
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,7007732.0,ns,8096
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,7517308.0,ns,8602
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,7839407.0,ns,9108
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,8298256.0,ns,9614
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,8822354.0,ns,10120
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,9228972.0,ns,10626
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,9521732.0,ns,11132
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,10063359.0,ns,11638
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,10493596.0,ns,12144
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,11032363.0,ns,12650
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,11416134.0,ns,13156
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,11882571.0,ns,13662
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,12219900.0,ns,14168
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,12675628.0,ns,14674
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,13171865.0,ns,15180
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,13546873.0,ns,15686
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,13905723.0,ns,16192
u64_ascending,partial_sort_1_0_0,len_1000-prefix_6,,,14391929.0,ns,16698
