group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u64_ascending,select_nth,len_1000-prefix_85,,,743727.0,ns,212
u64_ascending,select_nth,len_1000-prefix_85,,,1509723.0,ns,424
u64_ascending,select_nth,len_1000-prefix_85,,,2228342.0,ns,636
u64_ascending,select_nth,len_1000-prefix_85,,,2985827.0,ns,848
u64_ascending,select_nth,len_1000-prefix_85,,,3735974.0,ns,1060
u64_ascending,select_nth,len_1000-prefix_85,,,4476282.0,ns,1272
u64_ascending,select_nth,len_1000-prefix_85,,,5232568.0,ns,1484
u64_ascending,select_nth,len_1000-prefix_85,,,5989486.0,ns,1696
u64_ascending,select_nth,len_1000-prefix_85,,,7720318.0,ns,1908
u64_ascending,select_nth,len_1000-prefix_85,,,8478874.0,ns,2120
u64_ascending,select_nth,len_1000-prefix_85,,,8484355.0,ns,2332
u64_ascending,select_nth,len_1000-prefix_85,,,9327510.0,ns,2544
u64_ascending,select_nth,len_1000-prefix_85,,,10442366.0,ns,2756
u64_ascending,select_nth,len_1000-prefix_85,,,10831655.0,ns,2968
u64_ascending,select_nth,len_1000-prefix_85,,,11582383.0,ns,3180
u64_ascending,select_nth,len_1000-prefix_85,,,12099139.0,ns,3392
u64_ascending,select_nth,len_1000-prefix_85,,,13163955.0,ns,3604
u64_ascending,select_nth,len_1000-prefix_85,,,13314505.0,ns,3816
u64_ascending,select_nth,len_1000-prefix_85,,,14025480.0,ns,4028
u64_ascending,select_nth,len_1000-prefix_85,,,14748969.0,ns,4240
u64_ascending,select_nth,len_1000-prefix_85,,,15471407.0,ns,4452
u64_ascending,select_nth,len_1000-prefix_85,,,16216343.0,ns,4664
u64_ascending,select_nth,len_1000-prefix_85,,,17013630.0,ns,4876
u64_ascending,select_nth,len_1000-prefix_85,,,17805306.0,ns,5088
u64_ascending,select_nth,len_1000-prefix_85,,,18516943.0,ns,5300
u64_ascending,select_nth,len_1000-prefix_85,,,19243360.0,ns,5512
u64_ascending,select_nth,len_1000-prefix_85,,,20024916.0,ns,5724
u64_ascending,select_nth,len_1000-prefix_85,,,20744315.0,ns,5936
u64_ascending,select_nth,len_1000-prefix_85,,,21495241.0,ns,6148
u64_ascending,select_nth,len_1000-prefix_85,,,22286220.0,ns,6360
u64_ascending,select_nth,len_1000-prefix_85,,,23005164.0,ns,6572
u64_ascending,select_nth,len_1000-prefix_85,,,23796112.0,ns,6784
u64_ascending,select_nth,len_1000-prefix_85,,,24520688.0,ns,6996
u64_ascending,select_nth,len_1000-prefix_85,,,25274925.0,ns,7208
u64_ascending,select_nth,len_1000-prefix_85,,,26018835.0,ns,7420
u64_ascending,select_nth,len_1000-prefix_85,,,26696769.0,ns,7632
u64_ascending,select_nth,len_1000-prefix_85,,,27428726.0,ns,7844
u64_ascending,select_nth,len_1000-prefix_85,,,28207930.0,ns,8056
u64_ascending,select_nth,len_1000-prefix_85,,,28936840.0,ns,8268
u64_ascending,select_nth,len_1000-prefix_85,,,29679298.0,ns,8480
u64_ascending,select_nth,len_1000-prefix_85,,,30413191.0,ns,8692
u64_ascending,select_nth,len_1000-prefix_85,,,31220781.0,ns,8904
u64_ascending,select_nth,len_1000-prefix_85,,,32006377.0,ns,9116
u64_ascending,select_nth,len_1000-prefix_85,,,32707916.0,ns,9328
u64_ascending,select_nth,len_1000-prefix_85,,,33449531.0,ns,9540
u64_ascending,select_nth,len_1000-prefix_85,,,34193209.0,ns,9752
u64_ascending,select_nth,len_1000-prefix_85,,,34899645.0,ns,9964
u64_ascending,select_nth,len_1000-prefix_85,,,35830930.0,ns,10176
u64_ascending,select_nth,len_1000-prefix_85,,,36956487.0,ns,10388
u64_ascending,select_nth,len_1000-prefix_85,,,37574619.0,ns,10600
u64_ascending,select_nth,len_1000-prefix_85,,,38130892.0,ns,10812
u64_ascending,select_nth,len_1000-prefix_85,,,38788340.0,ns,11024
u64_ascending,select_nth,len_1000-prefix_85,,,40238787.0,ns,11236
u64_ascending,select_nth,len_1000-prefix_85,,,40318403.0,ns,11448
u64_ascending,select_nth,len_1000-prefix_85,,,41135180.0,ns,11660
u64_ascending,select_nth,len_1000-prefix_85,,,41871585.0,ns,11872
u64_ascending,select_nth,len_1000-prefix_85,,,42537514.0,ns,12084
u64_ascending,select_nth,len_1000-prefix_85,,,43434511.0,ns,12296
u64_ascending,select_nth,len_1000-prefix_85,,,44113138.0,ns,12508
u64_ascending,select_nth,len_1000-prefix_85,,,44732361.0,ns,12720
u64_ascending,select_nth,len_1000-prefix_85,,,45428613.0,ns,12932
u64_ascending,select_nth,len_1000-prefix_85,,,46216898.0,ns,13144
u64_ascending,select_nth,len_1000-prefix_85,,,47165099.0,ns,13356
u64_ascending,select_nth,len_1000-prefix_85,,,47723003.0,ns,13568
u64_ascending,select_nth,len_1000-prefix_85,,,48475850.0,ns,13780
u64_ascending,select_nth,len_1000-prefix_85,,,49170896.0,ns,13992
u64_ascending,select_nth,len_1000-prefix_85,,,49901592.0,ns,14204
u64_ascending,select_nth,len_1000-prefix_85,,,50846809.0,ns,14416
u64_ascending,select_nth,len_1000-prefix_85,,,51750302.0,ns,14628
u64_ascending,select_nth,len_1000-prefix_85,,,52239304.0,ns,14840
u64_ascending,select_nth,len_1000-prefix_85,,,52970730.0,ns,15052
u64_ascending,select_nth,len_1000-prefix_85,,,53689737.0,ns,15264
u64_ascending,select_nth,len_1000-prefix_85,,,54470105.0,ns,15476
u64_ascending,select_nth,len_1000-prefix_85,,,55418081.0,ns,15688
u64_ascending,select_nth,len_1000-prefix_85,,,56019949.0,ns,15900
u64_ascending,select_nth,len_1000-prefix_85,,,56751873.0,ns,16112
u64_ascending,select_nth,len_1000-prefix_85,,,57421942.0,ns,16324
u64_ascending,select_nth,len_1000-prefix_85,,,58195549.0,ns,16536
u64_ascending,select_nth,len_1000-prefix_85,,,58947076.0,ns,16748
u64_ascending,select_nth,len_1000-prefix_85,,,59681032.0,ns,16960
u64_ascending,select_nth,len_1000-prefix_85,,,60599110.0,ns,17172
u64_ascending,select_nth,len_1000-prefix_85,,,61218950.0,ns,17384
u64_ascending,select_nth,len_1000-prefix_85,,,62044484.0,ns,17596
u64_ascending,select_nth,len_1000-prefix_85,,,62740490.0,ns,17808
u64_ascending,select_nth,len_1000-prefix_85,,,63463929.0,ns,18020
u64_ascending,select_nth,len_1000-prefix_85,,,64173344.0,ns,18232
u64_ascending,select_nth,len_1000-prefix_85,,,64955890.0,ns,18444
u64_ascending,select_nth,len_1000-prefix_85,,,65710997.0,ns,18656
u64_ascending,select_nth,len_1000-prefix_85,,,66389095.0,ns,18868
u64_ascending,select_nth,len_1000-prefix_85,,,67586530.0,ns,19080
u64_ascending,select_nth,len_1000-prefix_85,,,68361266.0,ns,19292
u64_ascending,select_nth,len_1000-prefix_85,,,69093853.0,ns,19504
u64_ascending,select_nth,len_1000-prefix_85,,,69660512.0,ns,19716
u64_ascending,select_nth,len_1000-prefix_85,,,70367389.0,ns,19928
u64_ascending,select_nth,len_1000-prefix_85,,,71087086.0,ns,20140
u64_ascending,select_nth,len_1000-prefix_85,,,71980254.0,ns,20352
u64_ascending,select_nth,len_1000-prefix_85,,,72684829.0,ns,20564
u64_ascending,select_nth,len_1000-prefix_85,,,73381826.0,ns,20776
u64_ascending,select_nth,len_1000-prefix_85,,,74111352.0,ns,20988
u64_ascending,select_nth,len_1000-prefix_85,,,74920550.0,ns,21200
