group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,927896.0,ns,138
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,1873942.0,ns,276
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,2785429.0,ns,414
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,3760684.0,ns,552
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,4689350.0,ns,690
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,5716616.0,ns,828
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,6593043.0,ns,966
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,7456540.0,ns,1104
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,8461125.0,ns,1242
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,9320871.0,ns,1380
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,10306847.0,ns,1518
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,11213173.0,ns,1656
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,12091350.0,ns,1794
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,13058276.0,ns,1932
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,14100301.0,ns,2070
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,15081058.0,ns,2208
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,16070764.0,ns,2346
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,17079470.0,ns,2484
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,18043054.0,ns,2622
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,18868882.0,ns,2760
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,19572280.0,ns,2898
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,20891973.0,ns,3036
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,21475462.0,ns,3174
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,22626886.0,ns,3312
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,23688202.0,ns,3450
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,24337061.0,ns,3588
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,25081675.0,ns,3726
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,26629249.0,ns,3864
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,27290889.0,ns,4002
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,28304492.0,ns,4140
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,28828434.0,ns,4278
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,29808437.0,ns,4416
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,30692923.0,ns,4554
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,31685448.0,ns,4692
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,32488665.0,ns,4830
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,33368610.0,ns,4968
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,34322049.0,ns,5106
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,35281144.0,ns,5244
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,36215680.0,ns,5382
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,37166787.0,ns,5520
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,37877263.0,ns,5658
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,38776399.0,ns,5796
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,39685445.0,ns,5934
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,40773492.0,ns,6072
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,41621357.0,ns,6210
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,42717392.0,ns,6348
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,45736822.0,ns,6486
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,44287856.0,ns,6624
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,44984643.0,ns,6762
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,45822110.0,ns,6900
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,46809496.0,ns,7038
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,47995520.0,ns,7176
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,48794648.0,ns,7314
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,49804064.0,ns,7452
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,50165962.0,ns,7590
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,50602201.0,ns,7728
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,52381221.0,ns,7866
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,53352880.0,ns,8004
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,54348305.0,ns,8142
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,55292482.0,ns,8280
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,56325796.0,ns,8418
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,57283621.0,ns,8556
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,58019210.0,ns,8694
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,58859677.0,ns,8832
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,59890142.0,ns,8970
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,60439739.0,ns,9108
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,61303736.0,ns,9246
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,62585932.0,ns,9384
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,63504768.0,ns,9522
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,64365282.0,ns,9660
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,65358850.0,ns,9798
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,66155155.0,ns,9936
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,67040243.0,ns,10074
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,68543676.0,ns,10212
u64_descending,partial_sort_1_0_0,len_500-prefix_60,,,69363998.0,ns,10350
