group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,374868.0,ns,11931
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,744217.0,ns,23862
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,1133774.0,ns,35793
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,1506695.0,ns,47724
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,1879042.0,ns,59655
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,2249531.0,ns,71586
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,2615098.0,ns,83517
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,2991338.0,ns,95448
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,3359837.0,ns,107379
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,3729035.0,ns,119310
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,4103942.0,ns,131241
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,4469292.0,ns,143172
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,4859370.0,ns,155103
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,5233630.0,ns,167034
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,5626117.0,ns,178965
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,6015526.0,ns,190896
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,6377656.0,ns,202827
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,6774241.0,ns,214758
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,7131810.0,ns,226689
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,7529519.0,ns,238620
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,7892347.0,ns,250551
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,8283854.0,ns,262482
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,8672424.0,ns,274413
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,9027743.0,ns,286344
u64_random,partial_sort_1_0_0,len_8-prefix_35,,,9432611.0,ns,298275
