group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,516377.0,ns,69
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,1019196.0,ns,138
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,1536626.0,ns,207
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,2039672.0,ns,276
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,2560640.0,ns,345
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,3065607.0,ns,414
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,3585565.0,ns,483
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,4099313.0,ns,552
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,4605242.0,ns,621
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,5130270.0,ns,690
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,5643468.0,ns,759
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,6146805.0,ns,828
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,6667033.0,ns,897
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,7194220.0,ns,966
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,7729379.0,ns,1035
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,8222057.0,ns,1104
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,8758105.0,ns,1173
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,9252482.0,ns,1242
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,9800781.0,ns,1311
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,10285181.0,ns,1380
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,10840395.0,ns,1449
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,11313334.0,ns,1518
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,11848321.0,ns,1587
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,12390569.0,ns,1656
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,12887497.0,ns,1725
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,13434614.0,ns,1794
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,14057132.0,ns,1863
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,14451121.0,ns,1932
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,14991308.0,ns,2001
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,15494096.0,ns,2070
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,15968426.0,ns,2139
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,16494363.0,ns,2208
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,17008840.0,ns,2277
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,17539142.0,ns,2346
u64_random_p5,partial_sort_1_0_0,len_2000-prefix_80,,,18090566.0,ns,2415
