group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,99050.0,ns,704
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,201310.0,ns,1408
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,301579.0,ns,2112
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,398949.0,ns,2816
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,496875.0,ns,3520
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,600587.0,ns,4224
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,703758.0,ns,4928
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,802257.0,ns,5632
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,900606.0,ns,6336
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,1006667.0,ns,7040
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,1101585.0,ns,7744
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,1198996.0,ns,8448
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,1308167.0,ns,9152
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,1406884.0,ns,9856
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,1514653.0,ns,10560
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,1614733.0,ns,11264
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,1693418.0,ns,11968
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,1767613.0,ns,12672
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,1869243.0,ns,13376
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,1984671.0,ns,14080
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,2117560.0,ns,14784
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,2180881.0,ns,15488
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,2254241.0,ns,16192
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,2354781.0,ns,16896
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,2507280.0,ns,17600
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,2617027.0,ns,18304
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,2744819.0,ns,19008
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,2796830.0,ns,19712
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,2934290.0,ns,20416
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,3041567.0,ns,21120
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,3087887.0,ns,21824
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,3167657.0,ns,22528
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,3275538.0,ns,23232
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,3442331.0,ns,23936
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,3514524.0,ns,24640
u64_random_z1,partial_sort_1_0_0,len_50-prefix_13,,,3592924.0,ns,25344
