group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u64_random_z1,select_nth,len_300-prefix_65,,,125159.0,ns,122
u64_random_z1,select_nth,len_300-prefix_65,,,250309.0,ns,244
u64_random_z1,select_nth,len_300-prefix_65,,,379468.0,ns,366
u64_random_z1,select_nth,len_300-prefix_65,,,503447.0,ns,488
u64_random_z1,select_nth,len_300-prefix_65,,,628420.0,ns,610
u64_random_z1,select_nth,len_300-prefix_65,,,752505.0,ns,732
u64_random_z1,select_nth,len_300-prefix_65,,,887787.0,ns,854
u64_random_z1,select_nth,len_300-prefix_65,,,1014686.0,ns,976
u64_random_z1,select_nth,len_300-prefix_65,,,1130325.0,ns,1098
u64_random_z1,select_nth,len_300-prefix_65,,,1264063.0,ns,1220
u64_random_z1,select_nth,len_300-prefix_65,,,1389683.0,ns,1342
u64_random_z1,select_nth,len_300-prefix_65,,,1512752.0,ns,1464
u64_random_z1,select_nth,len_300-prefix_65,,,1640044.0,ns,1586
u64_random_z1,select_nth,len_300-prefix_65,,,1769993.0,ns,1708
u64_random_z1,select_nth,len_300-prefix_65,,,1890133.0,ns,1830
u64_random_z1,select_nth,len_300-prefix_65,,,2017352.0,ns,1952
u64_random_z1,select_nth,len_300-prefix_65,,,2145971.0,ns,2074
u64_random_z1,select_nth,len_300-prefix_65,,,2266461.0,ns,2196
u64_random_z1,select_nth,len_300-prefix_65,,,2389790.0,ns,2318
u64_random_z1,select_nth,len_300-prefix_65,,,2527010.0,ns,2440
u64_random_z1,select_nth,len_300-prefix_65,,,2651090.0,ns,2562
u64_random_z1,select_nth,len_300-prefix_65,,,2781880.0,ns,2684
u64_random_z1,select_nth,len_300-prefix_65,,,2914148.0,ns,2806
u64_random_z1,select_nth,len_300-prefix_65,,,3047257.0,ns,2928
u64_random_z1,select_nth,len_300-prefix_65,,,3171367.0,ns,3050
u64_random_z1,select_nth,len_300-prefix_65,,,3295824.0,ns,3172
u64_random_z1,select_nth,len_300-prefix_65,,,3416884.0,ns,3294
u64_random_z1,select_nth,len_300-prefix_65,,,3550476.0,ns,3416
u64_random_z1,select_nth,len_300-prefix_65,,,3664795.0,ns,3538
u64_random_z1,select_nth,len_300-prefix_65,,,3810195.0,ns,3660
u64_random_z1,select_nth,len_300-prefix_65,,,3942064.0,ns,3782
