group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u64_random_z1,vendored_std,len_2-prefix_65,,,34790.0,ns,12085
u64_random_z1,vendored_std,len_2-prefix_65,,,68810.0,ns,24170
u64_random_z1,vendored_std,len_2-prefix_65,,,101290.0,ns,36255
u64_random_z1,vendored_std,len_2-prefix_65,,,134429.0,ns,48340
u64_random_z1,vendored_std,len_2-prefix_65,,,167809.0,ns,60425
u64_random_z1,vendored_std,len_2-prefix_65,,,206619.0,ns,72510
u64_random_z1,vendored_std,len_2-prefix_65,,,244400.0,ns,84595
u64_random_z1,vendored_std,len_2-prefix_65,,,272688.0,ns,96680
u64_random_z1,vendored_std,len_2-prefix_65,,,314869.0,ns,108765
u64_random_z1,vendored_std,len_2-prefix_65,,,400557.0,ns,120850
u64_random_z1,vendored_std,len_2-prefix_65,,,464357.0,ns,132935
u64_random_z1,vendored_std,len_2-prefix_65,,,446168.0,ns,145020
u64_random_z1,vendored_std,len_2-prefix_65,,,510178.0,ns,157105
u64_random_z1,vendored_std,len_2-prefix_65,,,517910.0,ns,169190
u64_random_z1,vendored_std,len_2-prefix_65,,,559770.0,ns,181275
u64_random_z1,vendored_std,len_2-prefix_65,,,594827.0,ns,193360
u64_random_z1,vendored_std,len_2-prefix_65,,,634158.0,ns,205445
u64_random_z1,vendored_std,len_2-prefix_65,,,666237.0,ns,217530
u64_random_z1,vendored_std,len_2-prefix_65,,,702768.0,ns,229615
u64_random_z1,vendored_std,len_2-prefix_65,,,738096.0,ns,241700
u64_random_z1,vendored_std,len_2-prefix_65,,,769210.0,ns,253785
u64_random_z1,vendored_std,len_2-prefix_65,,,805647.0,ns,265870
u64_random_z1,vendored_std,len_2-prefix_65,,,834824.0,ns,277955
u64_random_z1,vendored_std,len_2-prefix_65,,,864656.0,ns,290040
u64_random_z1,vendored_std,len_2-prefix_65,,,897476.0,ns,302125
u64_random_z1,vendored_std,len_2-prefix_65,,,928359.0,ns,314210
u64_random_z1,vendored_std,len_2-prefix_65,,,961417.0,ns,326295
u64_random_z1,vendored_std,len_2-prefix_65,,,996177.0,ns,338380
u64_random_z1,vendored_std,len_2-prefix_65,,,1025236.0,ns,350465
u64_random_z1,vendored_std,len_2-prefix_65,,,1049616.0,ns,362550
u64_random_z1,vendored_std,len_2-prefix_65,,,1089020.0,ns,374635
u64_random_z1,vendored_std,len_2-prefix_65,,,1114274.0,ns,386720
u64_random_z1,vendored_std,len_2-prefix_65,,,1147724.0,ns,398805
u64_random_z1,vendored_std,len_2-prefix_65,,,1174884.0,ns,410890
u64_random_z1,vendored_std,len_2-prefix_65,,,1211737.0,ns,422975
u64_random_z1,vendored_std,len_2-prefix_65,,,1238252.0,ns,435060
u64_random_z1,vendored_std,len_2-prefix_65,,,1272696.0,ns,447145
u64_random_z1,vendored_std,len_2-prefix_65,,,1313454.0,ns,459230
u64_random_z1,vendored_std,len_2-prefix_65,,,1337674.0,ns,471315
u64_random_z1,vendored_std,len_2-prefix_65,,,1403134.0,ns,483400
u64_random_z1,vendored_std,len_2-prefix_65,,,1395877.0,ns,495485
u64_random_z1,vendored_std,len_2-prefix_65,,,1427454.0,ns,507570
u64_random_z1,vendored_std,len_2-prefix_65,,,1462983.0,ns,519655
u64_random_z1,vendored_std,len_2-prefix_65,,,1500785.0,ns,531740
u64_random_z1,vendored_std,len_2-prefix_65,,,1518343.0,ns,543825
u64_random_z1,vendored_std,len_2-prefix_65,,,1562424.0,ns,555910
u64_random_z1,vendored_std,len_2-prefix_65,,,1637624.0,ns,567995
u64_random_z1,vendored_std,len_2-prefix_65,,,1609673.0,ns,580080
u64_random_z1,vendored_std,len_2-prefix_65,,,1638104.0,ns,592165
u64_random_z1,vendored_std,len_2-prefix_65,,,1675023.0,ns,604250
u64_random_z1,vendored_std,len_2-prefix_65,,,1703614.0,ns,616335
u64_random_z1,vendored_std,len_2-prefix_65,,,1738614.0,ns,628420
u64_random_z1,vendored_std,len_2-prefix_65,,,1769955.0,ns,640505
u64_random_z1,vendored_std,len_2-prefix_65,,,1798762.0,ns,652590
u64_random_z1,vendored_std,len_2-prefix_65,,,1837972.0,ns,664675
u64_random_z1,vendored_std,len_2-prefix_65,,,1881853.0,ns,676760
u64_random_z1,vendored_std,len_2-prefix_65,,,1902425.0,ns,688845
u64_random_z1,vendored_std,len_2-prefix_65,,,1925593.0,ns,700930
u64_random_z1,vendored_std,len_2-prefix_65,,,1950102.0,ns,713015
u64_random_z1,vendored_std,len_2-prefix_65,,,1978731.0,ns,725100
u64_random_z1,vendored_std,len_2-prefix_65,,,2026681.0,ns,737185
u64_random_z1,vendored_std,len_2-prefix_65,,,2061743.0,ns,749270
u64_random_z1,vendored_std,len_2-prefix_65,,,2078642.0,ns,761355
u64_random_z1,vendored_std,len_2-prefix_65,,,2117740.0,ns,773440
u64_random_z1,vendored_std,len_2-prefix_65,,,2151132.0,ns,785525
u64_random_z1,vendored_std,len_2-prefix_65,,,2175191.0,ns,797610
u64_random_z1,vendored_std,len_2-prefix_65,,,2216243.0,ns,809695
u64_random_z1,vendored_std,len_2-prefix_65,,,2250910.0,ns,821780
u64_random_z1,vendored_std,len_2-prefix_65,,,2286890.0,ns,833865
u64_random_z1,vendored_std,len_2-prefix_65,,,2307310.0,ns,845950
u64_random_z1,vendored_std,len_2-prefix_65,,,2350460.0,ns,858035
u64_random_z1,vendored_std,len_2-prefix_65,,,2374650.0,ns,870120
u64_random_z1,vendored_std,len_2-prefix_65,,,2418160.0,ns,882205
u64_random_z1,vendored_std,len_2-prefix_65,,,2437170.0,ns,894290
u64_random_z1,vendored_std,len_2-prefix_65,,,2499899.0,ns,906375
u64_random_z1,vendored_std,len_2-prefix_65,,,2528389.0,ns,918460
u64_random_z1,vendored_std,len_2-prefix_65,,,2542069.0,ns,930545
u64_random_z1,vendored_std,len_2-prefix_65,,,2825899.0,ns,942630
u64_random_z1,vendored_std,len_2-prefix_65,,,2589339.0,ns,954715
u64_random_z1,vendored_std,len_2-prefix_65,,,2633809.0,ns,966800
u64_random_z1,vendored_std,len_2-prefix_65,,,2661420.0,ns,978885
u64_random_z1,vendored_std,len_2-prefix_65,,,2700058.0,ns,990970
u64_random_z1,vendored_std,len_2-prefix_65,,,2724728.0,ns,1003055
u64_random_z1,vendored_std,len_2-prefix_65,,,2753498.0,ns,1015140
u64_random_z1,vendored_std,len_2-prefix_65,,,2786249.0,ns,1027225
u64_random_z1,vendored_std,len_2-prefix_65,,,2828969.0,ns,1039310
u64_random_z1,vendored_std,len_2-prefix_65,,,2873068.0,ns,1051395
u64_random_z1,vendored_std,len_2-prefix_65,,,2888318.0,ns,1063480
u64_random_z1,vendored_std,len_2-prefix_65,,,2914539.0,ns,1075565
u64_random_z1,vendored_std,len_2-prefix_65,,,3249896.0,ns,1087650
u64_random_z1,vendored_std,len_2-prefix_65,,,3011417.0,ns,1099735
u64_random_z1,vendored_std,len_2-prefix_65,,,3029048.0,ns,1111820
u64_random_z1,vendored_std,len_2-prefix_65,,,3036921.0,ns,1123905
u64_random_z1,vendored_std,len_2-prefix_65,,,3070618.0,ns,1135990
u64_random_z1,vendored_std,len_2-prefix_65,,,3112717.0,ns,1148075
u64_random_z1,vendored_std,len_2-prefix_65,,,3134296.0,ns,1160160
u64_random_z1,vendored_std,len_2-prefix_65,,,3166827.0,ns,1172245
u64_random_z1,vendored_std,len_2-prefix_65,,,3200217.0,ns,1184330
u64_random_z1,vendored_std,len_2-prefix_65,,,3225976.0,ns,1196415
u64_random_z1,vendored_std,len_2-prefix_65,,,3258160.0,ns,1208500
